beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,G2,no,43,0,0
0.5,0.5,A2,no,45,0.3,0.3
1.0,1.0,B2,no,47,0.6,0.6
2.0,0.5,B2,no,47,1.2,1.2
2.5,0.5,D3,no,50,1.5,1.5
3.0,1.0,C3,no,48,1.8,1.8
4.0,0.5,C3,no,48,2.4,2.4
4.5,0.5,E3,no,52,2.7,2.7
5.0,1.0,D3,no,50,3,3
6.0,0.5,D3,no,50,3.6,3.6
6.5,0.5,C3,no,48,3.9,3.9
7.0,1.0,B2,no,47,4.2,4.2
8.0,0.5,B2,no,47,4.8,4.8
8.5,0.5,D3,no,50,5.1,5.1
9.0,1.0,C3,no,48,5.4,5.4
10.0,0.5,C3,no,48,6,6
10.5,0.5,B2,no,47,6.3,6.3
11.0,1.0,A2,no,45,6.6,6.6
12.0,0.5,A2,no,45,7.2,7.2
12.5,0.5,C3,no,48,7.5,7.5
13.0,1.0,B2,no,47,7.8,7.8
14.0,0.5,B2,no,47,8.4,8.4
14.5,0.5,A2,no,45,8.7,8.7
15.0,1.0,G2,no,43,9,9
16.0,0.5,G2,no,43,9.6,9.6
16.5,0.5,A2,no,45,9.9,9.9
17.0,1.0,B2,no,47,10.2,10.2
18.0,0.5,B2,no,47,10.8,10.8
18.5,0.5,D3,no,50,11.1,11.1
19.0,1.0,C3,no,48,11.4,11.4
20.0,0.5,C3,no,48,12,12
20.5,0.5,E3,no,52,12.3,12.3
21.0,1.0,D3,no,50,12.6,12.6
22.0,0.5,D3,no,50,13.2,13.2
22.5,0.5,C3,no,48,13.5,13.5
23.0,1.0,B2,no,47,13.8,13.8
24.0,0.5,B2,no,47,14.4,14.4
24.5,0.5,D3,no,50,14.7,14.7
25.0,1.0,C3,no,48,15,15
26.0,0.5,C3,no,48,15.6,15.6
26.5,0.5,B2,no,47,15.9,15.9
27.0,1.0,A2,no,45,16.2,16.2
28.0,0.5,B2,no,47,16.8,16.8
28.5,0.5,A2,no,45,17.1,17.1
29.0,2.0,G2,no,43,17.4,17.4
32.0,0.5,G2,no,43,19.2,19.2
32.5,0.5,B2,no,47,19.5,19.5
33.0,1.0,A2,no,45,19.8,19.8
34.0,0.5,D2,no,38,20.4,20.4
34.5,0.5,D2,no,38,20.7,20.7
35.0,1.0,D2,no,38,21,21
36.0,0.5,A2,no,45,21.6,21.6
36.5,0.5,C3,no,48,21.9,21.9
37.0,1.0,B2,no,47,22.2,22.2
38.0,0.5,G2,no,43,22.8,22.8
38.5,0.5,G2,no,43,23.1,23.1
39.0,1.0,G2,no,43,23.4,23.4
40.0,0.5,B2,no,47,24,24
40.5,0.5,D3,no,50,24.3,24.3
41.0,1.0,C3,no,48,24.6,24.6
42.0,0.5,C3,no,48,25.2,25.2
42.5,0.5,E3,no,52,25.5,25.5
43.0,1.0,D3,no,50,25.8,25.8
44.0,0.5,D3,no,50,26.4,26.4
44.5,0.5,G3,no,55,26.7,26.7
45.0,1.0,D3,no,50,27,27
46.0,0.5,C3,no,48,27.6,27.6
46.5,0.5,B2,no,47,27.9,27.9
47.0,1.0,A2,no,45,28.2,28.2
48.0,0.5,G2,no,43,28.8,28.8
48.5,0.5,A2,no,45,29.1,29.1
49.0,1.0,B2,no,47,29.4,29.4
50.0,0.5,B2,no,47,30,30
50.5,0.5,D3,no,50,30.3,30.3
51.0,1.0,C3,no,48,30.6,30.6
52.0,0.5,C3,no,48,31.2,31.2
52.5,0.5,E3,no,52,31.5,31.5
53.0,1.0,D3,no,50,31.8,31.8
54.0,0.5,D3,no,50,32.4,32.4
54.5,0.5,C3,no,48,32.7,32.7
55.0,1.0,B2,no,47,33,33
56.0,0.5,B2,no,47,33.6,33.6
56.5,0.5,D3,no,50,33.9,33.9
57.0,1.0,C3,no,48,34.2,34.2
58.0,0.5,C3,no,48,34.8,34.8
58.5,0.5,B2,no,47,35.1,35.1
59.0,1.0,A2,no,45,35.4,35.4
60.0,0.5,B2,no,47,36,36
60.5,0.5,A2,no,45,36.3,36.3
61.0,2.0,G2,no,43,36.6,36.6
