beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,D4,no,62,,
1.0,1.0,D4,no,62,,
2.0,1.0,A3,no,57,,
3.0,1.0,A3,no,57,,
4.0,0.5,B3,no,59,,
4.5,0.5,C#4,no,61,,
5.0,0.5,D4,no,62,,
5.5,0.5,B3,no,59,,
6.0,1.0,A3,no,57,,
7.0,1.0,A3,no,57,,
8.0,1.0,G3,no,55,,
9.0,1.0,G3,no,55,,
10.0,1.0,F#3,no,54,,
11.0,1.0,F#3,no,54,,
12.0,0.5,E3,no,52,,
12.5,0.5,D3,no,50,,
13.0,0.5,E3,no,52,,
13.5,0.5,F#3,no,54,,
14.0,2.0,D3,no,50,,
16.0,1.0,D4,no,62,,
17.0,1.0,D4,no,62,,
18.0,1.0,A3,no,57,,
19.0,1.0,A3,no,57,,
20.0,0.5,B3,no,59,,
20.5,0.5,C#4,no,61,,
21.0,0.5,D4,no,62,,
21.5,0.5,B3,no,59,,
22.0,1.0,A3,no,57,,
23.0,1.0,A3,no,57,,
24.0,1.0,G3,no,55,,
25.0,1.0,G3,no,55,,
26.0,1.0,F#3,no,54,,
27.0,1.0,F#3,no,54,,
28.0,0.5,E3,no,52,,
28.5,0.5,D3,no,50,,
29.0,0.5,E3,no,52,,
29.5,0.5,F#3,no,54,,
30.0,2.0,D3,no,50,,
32.0,1.0,B3,no,59,,
33.0,1.0,B3,no,59,,
34.0,1.0,A3,no,57,,
35.0,1.0,D3,no,50,,
36.0,1.0,B3,no,59,,
37.0,1.0,B3,no,59,,
38.0,1.0,A3,no,57,,
39.0,1.0,D3,no,50,,
40.0,1.0,B3,no,59,,
41.0,1.0,C#4,no,61,,
42.0,1.0,D4,no,62,,
43.0,1.0,B3,no,59,,
44.0,1.0,A3,no,57,,
45.0,1.0,F#3,no,54,,
46.0,2.0,E3,no,52,,
48.0,1.0,D4,no,62,,
49.0,1.0,D4,no,62,,
50.0,1.0,A3,no,57,,
51.0,1.0,A3,no,57,,
52.0,0.5,B3,no,59,,
52.5,0.5,C#4,no,61,,
53.0,0.5,D4,no,62,,
53.5,0.5,B3,no,59,,
54.0,1.0,A3,no,57,,
55.0,1.0,A3,no,57,,
56.0,1.0,G3,no,55,,
57.0,1.0,G3,no,55,,
58.0,1.0,F#3,no,54,,
59.0,1.0,F#3,no,54,,
60.0,0.5,E3,no,52,,
60.5,0.5,D3,no,50,,
61.0,0.5,E3,no,52,,
61.5,0.5,F#3,no,54,,
62.0,2.0,D3,no,50,,
