beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,B2,no,47,,
0.5,0.5,C3,no,48,,
1.0,1.0,D3,no,50,,
2.0,0.5,C3,no,48,,
2.5,0.5,B2,no,47,,
3.0,1.0,A2,no,45,,
4.0,0.5,B2,no,47,,
4.5,0.5,A2,no,45,,
5.0,1.0,G2,no,43,,
6.0,2.0,A2,no,45,,
8.0,0.5,B2,no,47,,
8.5,0.5,C3,no,48,,
9.0,1.0,D3,no,50,,
10.0,0.5,E3,no,52,,
10.5,0.5,F#3,no,54,,
11.0,1.0,G3,no,55,,
12.0,0.5,G3,no,55,,
12.5,0.5,F#3,no,54,,
13.0,1.0,E3,no,52,,
14.0,2.0,D3,no,50,,
16.0,0.5,B2,no,47,,
16.5,0.5,C3,no,48,,
17.0,1.0,D3,no,50,,
18.0,0.5,C3,no,48,,
18.5,0.5,B2,no,47,,
19.0,1.0,A2,no,45,,
20.0,0.5,B2,no,47,,
20.5,0.5,A2,no,45,,
21.0,1.0,G2,no,43,,
22.0,2.0,A2,no,45,,
24.0,0.5,B2,no,47,,
24.5,0.5,C3,no,48,,
25.0,1.0,D3,no,50,,
26.0,0.5,E3,no,52,,
26.5,0.5,F#3,no,54,,
27.0,1.0,G3,no,55,,
28.0,0.5,C3,no,48,,
28.5,0.5,B2,no,47,,
29.0,1.0,A2,no,45,,
30.0,2.0,G2,no,43,,
32.0,1.0,B3,no,59,,
33.0,1.0,B3,no,59,,
34.0,1.0,G3,no,55,,
35.0,1.0,D3,no,50,,
36.0,0.5,E3,no,52,,
36.5,0.5,F#3,no,54,,
37.0,1.0,G3,no,55,,
38.0,2.0,D3,no,50,,
40.0,1.0,A3,no,57,,
41.0,1.0,G3,no,55,,
42.0,1.0,F#3,no,54,,
43.0,1.0,E3,no,52,,
44.0,1.0,D3,no,50,,
45.0,1.0,C3,no,48,,
46.0,1.0,B2,no,47,,
47.0,1.0,A2,no,45,,
48.0,0.5,B2,no,47,,
48.5,0.5,C3,no,48,,
49.0,1.0,D3,no,50,,
50.0,0.5,C3,no,48,,
50.5,0.5,B2,no,47,,
51.0,1.0,A2,no,45,,
52.0,0.5,B2,no,47,,
52.5,0.5,A2,no,45,,
53.0,1.0,G2,no,43,,
54.0,2.0,A2,no,45,,
56.0,0.5,B2,no,47,,
56.5,0.5,C3,no,48,,
57.0,1.0,D3,no,50,,
58.0,0.5,E3,no,52,,
58.5,0.5,F#3,no,54,,
59.0,1.0,G3,no,55,,
60.0,0.5,C3,no,48,,
60.5,0.5,B2,no,47,,
61.0,1.0,A2,no,45,,
62.0,2.0,G2,no,43,,
