beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,,
1.0,1.0,G3,no,55,,
2.0,1.0,E3,no,52,,
3.0,0.5,F3,no,53,,
3.5,0.5,E3,no,52,,
4.0,0.5,D3,no,50,,
4.5,0.5,C3,no,48,,
5.0,1.0,A3,no,57,,
6.0,2.0,C4,no,60,,
8.0,0.5,B3,no,59,,
8.5,0.5,A3,no,57,,
9.0,1.0,G3,no,55,,
10.0,0.5,F3,no,53,,
10.5,0.5,E3,no,52,,
11.0,0.5,D3,no,50,,
11.5,0.5,E3,no,52,,
12.0,0.5,F3,no,53,,
12.5,0.5,D3,no,50,,
13.0,1.0,E3,no,52,,
14.0,2.0,C3,no,48,,
16.0,1.0,D3,no,50,,
17.0,0.5,E3,no,52,,
17.5,0.5,F#3,no,54,,
18.0,0.5,G3,no,55,,
18.5,0.5,E3,no,52,,
19.0,0.5,F#3,no,54,,
19.5,0.5,G3,no,55,,
20.0,0.5,A3,no,57,,
20.5,0.5,F#3,no,54,,
21.0,0.5,G3,no,55,,
21.5,0.5,A3,no,57,,
22.0,0.5,B3,no,59,,
22.5,0.5,G3,no,55,,
23.0,0.5,A3,no,57,,
23.5,0.5,B3,no,59,,
24.0,0.5,C4,no,60,,
24.5,0.5,A3,no,57,,
25.0,0.5,B3,no,59,,
25.5,0.5,C4,no,60,,
26.0,1.0,D4,no,62,,
27.0,1.0,D3,no,50,,
28.0,1.0,F#3,no,54,,
29.0,3.0,G3,no,55,,
32.0,1.0,G3,no,55,,
33.0,1.0,G3,no,55,,
34.0,1.0,E3,no,52,,
35.0,0.5,F3,no,53,,
35.5,0.5,E3,no,52,,
36.0,0.5,D3,no,50,,
36.5,0.5,C3,no,48,,
37.0,1.0,A3,no,57,,
38.0,2.0,C4,no,60,,
40.0,0.5,B3,no,59,,
40.5,0.5,A3,no,57,,
41.0,1.0,G3,no,55,,
42.0,0.5,F3,no,53,,
42.5,0.5,E3,no,52,,
43.0,0.5,D3,no,50,,
43.5,0.5,E3,no,52,,
44.0,0.5,F3,no,53,,
44.5,0.5,D3,no,50,,
45.0,1.0,E3,no,52,,
46.0,2.0,C3,no,48,,
48.0,1.0,D3,no,50,,
