beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,A3,no,57,,
0.5,1.0,A3,no,57,,
1.5,0.5,F#3,no,54,,
2.0,0.5,A3,no,57,,
2.5,1.0,A3,no,57,,
3.5,0.5,F#3,no,54,,
4.0,0.5,A3,no,57,,
4.5,1.0,G3,no,55,,
5.5,0.5,E3,no,52,,
6.0,0.5,E3,no,52,,
6.5,1.5,F#3,no,54,,
8.0,0.5,A3,no,57,,
8.5,1.0,A3,no,57,,
9.5,0.5,F#3,no,54,,
10.0,0.5,A3,no,57,,
10.5,1.0,A3,no,57,,
11.5,0.5,F#3,no,54,,
12.0,0.5,A3,no,57,,
12.5,1.0,G3,no,55,,
13.5,0.5,E3,no,52,,
14.0,0.5,E3,no,52,,
14.5,1.5,F#3,no,54,,
16.0,0.5,F#3,no,54,,
16.5,1.0,E3,no,52,,
17.5,0.5,E3,no,52,,
18.0,0.5,E3,no,52,,
18.5,1.0,G3,no,55,,
19.5,0.5,G3,no,55,,
20.0,0.5,G3,no,55,,
20.5,1.0,F#3,no,54,,
21.5,0.5,F#3,no,54,,
22.0,0.5,F#3,no,54,,
22.5,1.5,B3,no,59,,
24.0,0.5,B3,no,59,,
24.5,1.0,A3,no,57,,
25.5,0.5,A3,no,57,,
26.0,0.5,A3,no,57,,
26.5,1.0,D4,no,62,,
27.5,0.5,A3,no,57,,
28.0,0.5,F#3,no,54,,
28.5,1.0,G3,no,55,,
29.5,0.5,E3,no,52,,
30.0,0.5,E3,no,52,,
30.5,1.5,D3,no,50,,
32.0,0.5,A3,no,57,,
32.5,1.0,A3,no,57,,
33.5,0.5,F#3,no,54,,
34.0,0.5,A3,no,57,,
34.5,1.0,A3,no,57,,
35.5,0.5,F#3,no,54,,
36.0,0.5,A3,no,57,,
36.5,1.0,G3,no,55,,
37.5,0.5,E3,no,52,,
38.0,0.5,E3,no,52,,
38.5,1.5,F#3,no,54,,
40.0,0.5,A3,no,57,,
40.5,1.0,A3,no,57,,
41.5,0.5,F#3,no,54,,
42.0,0.5,A3,no,57,,
42.5,1.0,A3,no,57,,
43.5,0.5,F#3,no,54,,
44.0,0.5,A3,no,57,,
44.5,1.0,G3,no,55,,
45.5,0.5,E3,no,52,,
46.0,0.5,E3,no,52,,
46.5,1.5,F#3,no,54,,
48.0,0.5,F#3,no,54,,
48.5,1.0,E3,no,52,,
49.5,0.5,E3,no,52,,
50.0,0.5,E3,no,52,,
50.5,1.0,G3,no,55,,
51.5,0.5,G3,no,55,,
52.0,0.5,G3,no,55,,
52.5,1.0,F#3,no,54,,
53.5,0.5,F#3,no,54,,
54.0,0.5,F#3,no,54,,
54.5,1.5,B3,no,59,,
56.0,0.5,B3,no,59,,
56.5,1.0,A3,no,57,,
57.5,0.5,A3,no,57,,
58.0,0.5,A3,no,57,,
58.5,1.0,D4,no,62,,
59.5,0.5,A3,no,57,,
60.0,0.5,F#3,no,54,,
60.5,1.0,G3,no,55,,
61.5,0.5,E3,no,52,,
62.0,0.5,E3,no,52,,
62.5,1.5,D3,no,50,,
