beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,G3,no,55,,
0.5,0.5,A3,no,57,,
1.0,0.5,G3,no,55,,
1.5,0.5,E3,no,52,,
2.0,0.5,F3,no,53,,
2.5,0.5,G3,no,55,,
3.0,0.5,F3,no,53,,
3.5,0.5,D3,no,50,,
4.0,0.75,C3,no,48,,
4.875,0.125,B3,no,59,,
5.0,1.0,C4,no,60,,
6.0,1.0,C3,no,48,,
8.0,0.5,F3,no,53,,
8.5,0.5,G3,no,55,,
9.0,0.5,F3,no,53,,
9.5,0.5,D3,no,50,,
10.0,0.5,E3,no,52,,
10.5,0.5,F3,no,53,,
11.0,0.5,E3,no,52,,
11.5,0.5,C3,no,48,,
12.0,0.75,D3,no,50,,
12.875,0.125,F#3,no,54,,
13.0,1.0,G3,no,55,,
14.0,1.0,G2,no,43,,
16.0,0.5,G3,no,55,,
16.5,0.5,A3,no,57,,
17.0,0.5,G3,no,55,,
17.5,0.5,E3,no,52,,
18.0,0.5,F3,no,53,,
18.5,0.5,G3,no,55,,
19.0,0.5,F3,no,53,,
19.5,0.5,D3,no,50,,
20.0,0.75,C3,no,48,,
20.875,0.125,B3,no,59,,
21.0,1.0,C4,no,60,,
22.0,1.0,C3,no,48,,
24.0,1.0,E3,no,52,,
25.0,0.5,C3,no,48,,
25.5,0.5,A2,no,45,,
26.0,1.0,C3,no,48,,
27.0,0.5,A2,no,45,,
27.5,0.5,F#2,no,42,,
28.0,0.75,G2,no,43,,
28.875,0.125,F#3,no,54,,
29.0,1.0,G3,no,55,,
30.0,1.0,G2,no,43,,
32.0,0.5,G3,no,55,,
32.5,0.5,A3,no,57,,
33.0,0.5,G3,no,55,,
33.5,0.5,E3,no,52,,
34.0,0.5,F3,no,53,,
34.5,0.5,G3,no,55,,
35.0,0.5,F3,no,53,,
35.5,0.5,D3,no,50,,
36.0,0.75,C3,no,48,,
36.875,0.125,B3,no,59,,
37.0,1.0,C4,no,60,,
38.0,1.0,C3,no,48,,
40.0,0.5,F3,no,53,,
40.5,0.5,G3,no,55,,
41.0,0.5,F3,no,53,,
41.5,0.5,D3,no,50,,
42.0,0.5,E3,no,52,,
42.5,0.5,F3,no,53,,
43.0,0.5,E3,no,52,,
43.5,0.5,C3,no,48,,
44.0,0.75,D3,no,50,,
44.875,0.125,F#3,no,54,,
45.0,1.0,G3,no,55,,
46.0,1.0,G2,no,43,,
48.0,0.5,G3,no,55,,
48.5,0.5,A3,no,57,,
49.0,0.5,G3,no,55,,
49.5,0.5,E3,no,52,,
50.0,0.5,F3,no,53,,
50.5,0.5,G3,no,55,,
51.0,0.5,F3,no,53,,
51.5,0.5,D3,no,50,,
52.0,0.75,C3,no,48,,
52.875,0.125,B3,no,59,,
53.0,1.0,C4,no,60,,
54.0,1.0,C3,no,48,,
56.0,1.0,E3,no,52,,
57.0,0.5,C3,no,48,,
57.5,0.5,A2,no,45,,
58.0,1.0,C3,no,48,,
59.0,0.5,A2,no,45,,
59.5,0.5,F#2,no,42,,
60.0,0.75,G2,no,43,,
60.875,0.125,F#3,no,54,,
61.0,1.0,G3,no,55,,
62.0,1.0,G2,no,43,,
64.0,0.5,D3,no,50,,
64.5,0.5,F3,no,53,,
65.0,0.5,E3,no,52,,
65.5,0.5,G3,no,55,,
66.0,0.5,F3,no,53,,
66.5,0.5,E3,no,52,,
67.0,0.5,D3,no,50,,
67.5,0.5,C3,no,48,,
68.0,1.0,B2,no,47,,
69.0,1.0,D3,no,50,,
70.0,1.0,F3,no,53,,
72.0,0.5,E3,no,52,,
72.5,0.5,G3,no,55,,
73.0,0.5,F3,no,53,,
73.5,0.5,A3,no,57,,
74.0,0.5,G3,no,55,,
74.5,0.5,F3,no,53,,
75.0,0.5,E3,no,52,,
75.5,0.5,D3,no,50,,
76.0,1.0,C3,no,48,,
77.0,1.0,E3,no,52,,
78.0,1.0,G3,no,55,,
80.0,0.5,A3,no,57,,
80.5,0.5,G3,no,55,,
81.0,0.5,G3,no,55,,
81.5,0.5,F3,no,53,,
82.0,0.5,F3,no,53,,
82.5,0.5,E3,no,52,,
83.0,0.5,E3,no,52,,
83.5,0.5,D3,no,50,,
84.0,1.0,D3,no,50,,
85.0,1.0,F3,no,53,,
86.0,1.0,A3,no,57,,
88.0,0.5,G3,no,55,,
88.5,0.5,E3,no,52,,
89.0,0.5,B2,no,47,,
89.5,0.5,C3,no,48,,
90.0,0.5,F3,no,53,,
90.5,0.5,D3,no,50,,
91.0,0.5,A2,no,45,,
91.5,0.5,B2,no,47,,
92.0,0.75,C3,no,48,,
92.875,0.125,B3,no,59,,
93.0,1.0,C4,no,60,,
94.0,1.0,C3,no,48,,
96.0,1.0,E3,no,52,,
97.0,1.0,E3,no,52,,
98.0,1.0,F3,no,53,,
99.0,1.0,F3,no,53,,
100.0,0.5,G3,no,55,,
100.5,0.5,C4,no,60,,
101.0,0.5,B3,no,59,,
101.5,0.5,C4,no,60,,
102.0,1.0,G3,no,55,,
104.0,1.0,C3,no,48,,
105.0,1.0,C3,no,48,,
106.0,1.0,D3,no,50,,
107.0,1.0,D3,no,50,,
108.0,0.25,E3,no,52,,
108.25,0.25,G3,no,55,,
108.5,0.25,F#3,no,54,,
108.75,0.25,G3,no,55,,
109.0,0.25,A3,no,57,,
109.25,0.25,G3,no,55,,
109.5,0.25,F3,no,53,,
109.75,0.25,E3,no,52,,
110.0,0.5,D3,no,50,,
110.5,0.5,G2,no,43,,
111.0,0.5,B2,no,47,,
111.5,0.5,G2,no,43,,
112.0,1.0,A2,no,45,,
113.0,0.5,C3,no,48,,
113.5,0.5,A2,no,45,,
114.0,1.0,A3,no,57,,
115.0,1.0,A2,no,45,,
116.0,1.0,G2,no,43,,
117.0,0.5,C3,no,48,,
117.5,0.5,G2,no,43,,
118.0,1.0,G3,no,55,,
119.0,1.0,G2,no,43,,
120.0,1.0,F3,no,53,,
121.0,1.0,G2,no,43,,
122.0,1.0,E3,no,52,,
123.0,1.0,G2,no,43,,
124.0,1.0,D3,no,50,,
125.0,0.25,D3,no,50,,
125.25,0.25,E3,no,52,,
125.5,0.25,F3,no,53,,
125.75,0.25,E3,no,52,,
126.0,1.0,D3,no,50,,
128.0,1.0,E3,no,52,,
129.0,1.0,E3,no,52,,
130.0,1.0,F3,no,53,,
131.0,1.0,F3,no,53,,
132.0,0.5,G3,no,55,,
132.5,0.5,C4,no,60,,
133.0,0.5,B3,no,59,,
133.5,0.5,C4,no,60,,
134.0,1.0,G3,no,55,,
136.0,1.0,C3,no,48,,
137.0,1.0,C3,no,48,,
138.0,1.0,D3,no,50,,
139.0,1.0,D3,no,50,,
140.0,0.25,E3,no,52,,
140.25,0.25,G3,no,55,,
140.5,0.25,F#3,no,54,,
140.75,0.25,G3,no,55,,
141.0,0.25,A3,no,57,,
141.25,0.25,G3,no,55,,
141.5,0.25,F3,no,53,,
141.75,0.25,E3,no,52,,
142.0,0.5,D3,no,50,,
142.5,0.5,G2,no,43,,
143.0,0.5,B2,no,47,,
143.5,0.5,G2,no,43,,
144.0,1.0,A2,no,45,,
145.0,0.5,C3,no,48,,
145.5,0.5,A2,no,45,,
146.0,1.0,A3,no,57,,
147.0,1.0,A2,no,45,,
148.0,1.0,G2,no,43,,
149.0,0.5,C3,no,48,,
149.5,0.5,G2,no,43,,
150.0,1.0,G3,no,55,,
151.0,1.0,G2,no,43,,
152.0,1.0,F3,no,53,,
153.0,1.0,G2,no,43,,
154.0,1.0,E3,no,52,,
155.0,1.0,G2,no,43,,
156.0,1.0,D3,no,50,,
157.0,0.25,D3,no,50,,
157.25,0.25,E3,no,52,,
157.5,0.25,F3,no,53,,
157.75,0.25,E3,no,52,,
158.0,1.0,D3,no,50,,
160.0,1.0,F3,no,53,,
161.0,0.25,F3,no,53,,
161.25,0.25,E3,no,52,,
161.5,0.25,D3,no,50,,
161.75,0.25,C3,no,48,,
162.0,1.0,B2,no,47,,
163.0,1.0,B3,no,59,,
164.0,1.0,C4,no,60,,
165.0,1.0,G2,no,43,,
166.0,1.0,C3,no,48,,
168.0,1.0,F3,no,53,,
169.0,0.25,F3,no,53,,
169.25,0.25,E3,no,52,,
169.5,0.25,D3,no,50,,
169.75,0.25,C3,no,48,,
170.0,1.0,B2,no,47,,
171.0,1.0,B3,no,59,,
172.0,1.0,C4,no,60,,
173.0,1.0,C3,no,48,,
174.0,1.0,E3,no,52,,
176.0,1.0,A2,no,45,,
177.0,0.25,C3,no,48,,
177.25,0.25,B2,no,47,,
177.5,0.25,A2,no,45,,
177.75,0.25,G2,no,43,,
178.0,1.0,F2,no,41,,
179.0,1.0,A3,no,57,,
180.0,1.0,G2,no,43,,
181.0,0.25,G2,no,43,,
181.25,0.25,A2,no,45,,
181.5,0.25,G2,no,43,,
181.75,0.25,F2,no,41,,
182.0,1.0,E2,no,40,,
183.0,1.0,G3,no,55,,
184.0,1.0,F3,no,53,,
185.0,0.25,A3,no,57,,
185.25,0.25,G3,no,55,,
185.5,0.25,F3,no,53,,
185.75,0.25,E3,no,52,,
186.0,1.0,D3,no,50,,
187.0,1.0,B3,no,59,,
188.0,1.0,C4,no,60,,
189.0,1.0,C3,no,48,,
190.0,1.0,C2,no,36,,
192.0,1.0,F3,no,53,,
193.0,0.25,F3,no,53,,
193.25,0.25,E3,no,52,,
193.5,0.25,D3,no,50,,
193.75,0.25,C3,no,48,,
194.0,1.0,B2,no,47,,
195.0,1.0,B3,no,59,,
196.0,1.0,C4,no,60,,
197.0,1.0,G2,no,43,,
198.0,1.0,C3,no,48,,
200.0,1.0,F3,no,53,,
201.0,0.25,F3,no,53,,
201.25,0.25,E3,no,52,,
201.5,0.25,D3,no,50,,
201.75,0.25,C3,no,48,,
202.0,1.0,B2,no,47,,
203.0,1.0,B3,no,59,,
204.0,1.0,C4,no,60,,
205.0,1.0,C3,no,48,,
206.0,1.0,E3,no,52,,
208.0,1.0,A2,no,45,,
209.0,0.25,C3,no,48,,
209.25,0.25,B2,no,47,,
209.5,0.25,A2,no,45,,
209.75,0.25,G2,no,43,,
210.0,1.0,F2,no,41,,
211.0,1.0,A3,no,57,,
212.0,1.0,G2,no,43,,
213.0,0.25,G2,no,43,,
213.25,0.25,A2,no,45,,
213.5,0.25,G2,no,43,,
213.75,0.25,F2,no,41,,
214.0,1.0,E2,no,40,,
215.0,1.0,G3,no,55,,
216.0,1.0,F3,no,53,,
217.0,0.25,A3,no,57,,
217.25,0.25,G3,no,55,,
217.5,0.25,F3,no,53,,
217.75,0.25,E3,no,52,,
218.0,1.0,D3,no,50,,
219.0,1.0,B3,no,59,,
220.0,1.0,C4,no,60,,
221.0,1.0,C3,no,48,,
222.0,1.0,C2,no,36,,
224.0,0.5,G3,no,55,,
224.5,0.5,A3,no,57,,
225.0,0.5,G3,no,55,,
225.5,0.5,E3,no,52,,
226.0,0.5,F3,no,53,,
226.5,0.5,G3,no,55,,
227.0,0.5,F3,no,53,,
227.5,0.5,D3,no,50,,
228.0,0.75,C3,no,48,,
228.875,0.125,B3,no,59,,
229.0,1.0,C4,no,60,,
230.0,1.0,C3,no,48,,
232.0,0.5,F3,no,53,,
232.5,0.5,G3,no,55,,
233.0,0.5,F3,no,53,,
233.5,0.5,D3,no,50,,
234.0,0.5,E3,no,52,,
234.5,0.5,F3,no,53,,
235.0,0.5,E3,no,52,,
235.5,0.5,C3,no,48,,
236.0,0.75,D3,no,50,,
236.875,0.125,F#3,no,54,,
237.0,1.0,G3,no,55,,
238.0,1.0,G2,no,43,,
240.0,0.5,G3,no,55,,
240.5,0.5,A3,no,57,,
241.0,0.5,G3,no,55,,
241.5,0.5,E3,no,52,,
242.0,0.5,F3,no,53,,
242.5,0.5,G3,no,55,,
243.0,0.5,F3,no,53,,
243.5,0.5,D3,no,50,,
244.0,0.75,C3,no,48,,
244.875,0.125,B3,no,59,,
245.0,1.0,C4,no,60,,
246.0,1.0,C3,no,48,,
248.0,1.0,E3,no,52,,
249.0,0.5,C3,no,48,,
249.5,0.5,A2,no,45,,
250.0,1.0,C3,no,48,,
251.0,0.5,A2,no,45,,
251.5,0.5,F#2,no,42,,
252.0,0.75,G2,no,43,,
252.875,0.125,F#3,no,54,,
253.0,1.0,G3,no,55,,
254.0,1.0,G2,no,43,,
256.0,0.5,D3,no,50,,
256.5,0.5,F3,no,53,,
257.0,0.5,E3,no,52,,
257.5,0.5,G3,no,55,,
258.0,0.5,F3,no,53,,
258.5,0.5,E3,no,52,,
259.0,0.5,D3,no,50,,
259.5,0.5,C3,no,48,,
260.0,1.0,B2,no,47,,
261.0,1.0,D3,no,50,,
262.0,1.0,F3,no,53,,
264.0,0.5,E3,no,52,,
264.5,0.5,G3,no,55,,
265.0,0.5,F3,no,53,,
265.5,0.5,A3,no,57,,
266.0,0.5,G3,no,55,,
266.5,0.5,F3,no,53,,
267.0,0.5,E3,no,52,,
267.5,0.5,D3,no,50,,
268.0,1.0,C3,no,48,,
269.0,1.0,E3,no,52,,
270.0,1.0,G3,no,55,,
272.0,0.5,A3,no,57,,
272.5,0.5,G3,no,55,,
273.0,0.5,G3,no,55,,
273.5,0.5,F3,no,53,,
274.0,0.5,F3,no,53,,
274.5,0.5,E3,no,52,,
275.0,0.5,E3,no,52,,
275.5,0.5,D3,no,50,,
276.0,1.0,D3,no,50,,
277.0,1.0,F3,no,53,,
278.0,1.0,A3,no,57,,
280.0,0.5,G3,no,55,,
280.5,0.5,E3,no,52,,
281.0,0.5,B2,no,47,,
281.5,0.5,C3,no,48,,
282.0,0.5,F3,no,53,,
282.5,0.5,D3,no,50,,
283.0,0.5,A2,no,45,,
283.5,0.5,B2,no,47,,
284.0,0.75,C3,no,48,,
284.875,0.125,B3,no,59,,
285.0,1.0,C4,no,60,,
286.0,1.0,C3,no,48,,
