beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,C3,no,48,0,0
1.0,0.5,C3,no,48,0.6,0.6
1.5,0.5,D3,no,50,0.9,0.9
2.0,1.0,E3,no,52,1.2,1.2
3.0,0.5,E3,no,52,1.8,1.8
3.5,0.5,F3,no,53,2.1,2.1
4.0,1.0,G3,no,55,2.4,2.4
5.0,0.5,A3,no,57,3,3
5.5,0.5,G3,no,55,3.3,3.3
6.0,2.0,E3,no,52,3.6,3.6
8.0,1.0,G3,no,55,4.8,4.8
9.0,0.5,F3,no,53,5.4,5.4
9.5,0.5,E3,no,52,5.7,5.7
10.0,2.0,D3,no,50,6,6
12.0,1.0,F3,no,53,7.2,7.2
13.0,0.5,E3,no,52,7.8,7.8
13.5,0.5,D3,no,50,8.1,8.1
14.0,2.0,C3,no,48,8.4,8.4
16.0,1.0,C3,no,48,9.6,9.6
17.0,0.5,C3,no,48,10.2,10.2
17.5,0.5,D3,no,50,10.5,10.5
18.0,1.0,E3,no,52,10.8,10.8
19.0,0.5,E3,no,52,11.4,11.4
19.5,0.5,F3,no,53,11.7,11.7
20.0,1.0,G3,no,55,12,12
21.0,0.5,A3,no,57,12.6,12.6
21.5,0.5,G3,no,55,12.9,12.9
22.0,2.0,E3,no,52,13.2,13.2
24.0,1.0,G3,no,55,14.4,14.4
25.0,0.5,F3,no,53,15,15
25.5,0.5,E3,no,52,15.3,15.3
26.0,1.0,D3,no,50,15.6,15.6
27.0,0.5,E3,no,52,16.2,16.2
27.5,0.5,D3,no,50,16.5,16.5
28.0,2.0,C3,no,48,16.8,16.8
32.0,1.0,G3,no,55,19.2,19.2
33.0,0.5,F3,no,53,19.8,19.8
33.5,0.5,E3,no,52,20.1,20.1
34.0,1.0,D3,no,50,20.4,20.4
35.0,0.5,G2,no,43,21,21
35.5,0.5,G2,no,43,21.3,21.3
36.0,1.0,F3,no,53,21.6,21.6
37.0,0.5,E3,no,52,22.2,22.2
37.5,0.5,D3,no,50,22.5,22.5
38.0,2.0,C3,no,48,22.8,22.8
40.0,1.0,G3,no,55,24,24
41.0,0.5,F3,no,53,24.6,24.6
41.5,0.5,E3,no,52,24.9,24.9
42.0,1.0,D3,no,50,25.2,25.2
43.0,0.5,G2,no,43,25.8,25.8
43.5,0.5,G2,no,43,26.1,26.1
44.0,1.0,F3,no,53,26.4,26.4
45.0,0.5,E3,no,52,27,27
45.5,0.5,D3,no,50,27.3,27.3
46.0,2.0,C3,no,48,27.6,27.6
48.0,1.0,C3,no,48,28.8,28.8
49.0,0.5,C3,no,48,29.4,29.4
49.5,0.5,D3,no,50,29.7,29.7
50.0,1.0,E3,no,52,30,30
51.0,0.5,E3,no,52,30.6,30.6
51.5,0.5,F3,no,53,30.9,30.9
52.0,1.0,G3,no,55,31.2,31.2
53.0,0.5,A3,no,57,31.8,31.8
53.5,0.5,G3,no,55,32.1,32.1
54.0,2.0,E3,no,52,32.4,32.4
56.0,1.0,G3,no,55,33.6,33.6
57.0,0.5,F3,no,53,34.2,34.2
57.5,0.5,E3,no,52,34.5,34.5
58.0,1.0,D3,no,50,34.8,34.8
59.0,0.5,E3,no,52,35.4,35.4
59.5,0.5,D3,no,50,35.7,35.7
60.0,2.0,C3,no,48,36,36
