beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,2.0,B3,no,59,,
2.0,2.0,A3,no,57,,
4.0,1.0,G3,no,55,,
5.0,0.5,F#3,no,54,,
5.5,0.5,E3,no,52,,
6.0,1.0,D3,no,50,,
7.0,0.5,E3,no,52,,
7.5,0.5,F#3,no,54,,
8.0,1.0,G3,no,55,,
9.0,0.5,A3,no,57,,
9.5,0.5,B3,no,59,,
10.0,1.0,C4,no,60,,
11.0,1.0,B3,no,59,,
12.0,1.0,B3,no,59,,
13.0,1.0,A3,no,57,,
16.0,2.0,C4,no,60,,
18.0,2.0,A3,no,57,,
20.0,1.0,D3,no,50,,
21.0,0.5,D3,no,50,,
21.5,0.5,E3,no,52,,
22.0,1.0,F#3,no,54,,
23.0,0.5,F#3,no,54,,
23.5,0.5,G3,no,55,,
24.0,1.0,A3,no,57,,
25.0,0.5,B3,no,59,,
25.5,0.5,C4,no,60,,
26.0,1.0,D4,no,62,,
27.0,1.0,C4,no,60,,
28.0,1.0,C4,no,60,,
29.0,1.0,B3,no,59,,
32.0,2.0,B3,no,59,,
34.0,2.0,B3,no,59,,
36.0,1.0,B3,no,59,,
37.0,1.0,A3,no,57,,
40.0,2.0,A3,no,57,,
42.0,2.0,A3,no,57,,
44.0,1.0,A3,no,57,,
45.0,1.0,G3,no,55,,
48.0,2.0,G3,no,55,,
50.0,2.0,G3,no,55,,
52.0,1.0,G3,no,55,,
53.0,0.5,F#3,no,54,,
53.5,0.5,E3,no,52,,
54.0,1.0,A3,no,57,,
55.0,1.0,G3,no,55,,
56.0,2.0,F#3,no,54,,
58.0,2.0,E3,no,52,,
60.0,2.0,D3,no,50,,
64.0,2.0,B3,no,59,,
66.0,2.0,A3,no,57,,
68.0,1.0,G3,no,55,,
69.0,0.5,F#3,no,54,,
69.5,0.5,E3,no,52,,
70.0,1.0,D3,no,50,,
71.0,0.5,E3,no,52,,
71.5,0.5,F#3,no,54,,
72.0,1.0,G3,no,55,,
73.0,0.5,A3,no,57,,
73.5,0.5,B3,no,59,,
74.0,1.0,C4,no,60,,
75.0,1.0,B3,no,59,,
76.0,1.0,B3,no,59,,
77.0,1.0,A3,no,57,,
80.0,2.0,C4,no,60,,
82.0,2.0,A3,no,57,,
84.0,1.0,D3,no,50,,
85.0,0.5,D3,no,50,,
85.5,0.5,E3,no,52,,
86.0,1.0,F#3,no,54,,
87.0,0.5,F#3,no,54,,
87.5,0.5,G3,no,55,,
88.0,1.0,A3,no,57,,
89.0,0.5,B3,no,59,,
89.5,0.5,C4,no,60,,
90.0,1.0,D4,no,62,,
91.0,1.0,C4,no,60,,
92.0,1.0,C4,no,60,,
93.0,1.0,B3,no,59,,
96.0,2.0,B3,no,59,,
98.0,2.0,B3,no,59,,
100.0,1.0,B3,no,59,,
101.0,1.0,A3,no,57,,
104.0,2.0,A3,no,57,,
106.0,2.0,A3,no,57,,
108.0,1.0,A3,no,57,,
109.0,1.0,G3,no,55,,
112.0,2.0,G3,no,55,,
114.0,2.0,G3,no,55,,
116.0,1.0,G3,no,55,,
117.0,0.5,F#3,no,54,,
117.5,0.5,E3,no,52,,
118.0,1.0,A3,no,57,,
119.0,1.0,G3,no,55,,
120.0,2.0,F#3,no,54,,
122.0,2.0,E3,no,52,,
124.0,2.0,D3,no,50,,
128.0,2.0,D3,no,50,,
130.0,2.0,D3,no,50,,
132.0,1.0,D3,no,50,,
133.0,0.5,B2,no,47,,
133.5,0.5,C3,no,48,,
134.0,1.0,D3,no,50,,
135.0,0.5,E3,no,52,,
135.5,0.5,F#3,no,54,,
136.0,0.5,G3,no,55,,
136.5,0.5,A3,no,57,,
137.0,0.5,B3,no,59,,
137.5,0.5,C4,no,60,,
138.0,1.0,D4,no,62,,
139.0,1.0,F3,no,53,,
140.0,1.0,F3,no,53,,
141.0,1.0,E3,no,52,,
144.0,1.0,E3,no,52,,
145.0,2.0,A3,no,57,,
147.0,1.0,G#3,no,56,,
148.0,1.0,A3,no,57,,
149.0,0.5,C4,no,60,,
149.5,0.5,B3,no,59,,
150.0,1.0,A3,no,57,,
151.0,0.5,G3,no,55,,
151.5,0.5,F#3,no,54,,
152.0,0.5,G3,no,55,,
152.5,0.5,B3,no,59,,
153.0,0.5,A3,no,57,,
153.5,0.5,G3,no,55,,
154.0,0.5,F#3,no,54,,
154.5,0.5,E3,no,52,,
155.0,1.0,A3,no,57,,
156.0,1.0,F#3,no,54,,
157.0,1.0,D3,no,50,,
160.0,2.0,D4,no,62,,
162.0,2.0,D4,no,62,,
164.0,1.0,D4,no,62,,
165.0,1.0,C4,no,60,,
168.0,2.0,C4,no,60,,
170.0,2.0,C4,no,60,,
172.0,1.0,C4,no,60,,
173.0,1.0,B3,no,59,,
176.0,1.0,E3,no,52,,
177.0,0.5,F#3,no,54,,
177.5,0.5,G3,no,55,,
178.0,0.5,A3,no,57,,
178.5,0.5,B3,no,59,,
179.0,1.0,C4,no,60,,
180.0,1.0,F#3,no,54,,
181.0,1.0,D3,no,50,,
182.0,1.0,D4,no,62,,
183.0,1.0,C4,no,60,,
184.0,2.0,B3,no,59,,
186.0,2.0,A3,no,57,,
188.0,4.0,G3,no,55,,
