beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.5,D3,no,50,,
1.5,0.5,F#3,no,54,,
2.0,1.0,A3,no,57,,
3.0,1.0,D4,no,62,,
4.0,1.0,B3,no,59,,
5.0,0.5,D4,no,62,,
5.5,0.5,B3,no,59,,
6.0,2.0,A3,no,57,,
8.0,1.5,G3,no,55,,
9.5,0.5,A3,no,57,,
10.0,1.0,F#3,no,54,,
11.0,1.0,D3,no,50,,
12.0,2.0,E3,no,52,,
14.0,2.0,D3,no,50,,
16.0,1.0,A3,no,57,,
17.0,1.0,A3,no,57,,
18.0,1.0,G3,no,55,,
19.0,1.0,G3,no,55,,
20.0,1.0,F#3,no,54,,
21.0,0.5,A3,no,57,,
21.5,0.5,F#3,no,54,,
22.0,2.0,E3,no,52,,
24.0,1.0,A3,no,57,,
25.0,1.0,A3,no,57,,
26.0,1.0,G3,no,55,,
27.0,1.0,G3,no,55,,
28.0,1.0,F#3,no,54,,
29.0,0.5,A3,no,57,,
29.5,0.5,F#3,no,54,,
30.0,2.0,E3,no,52,,
32.0,1.5,D3,no,50,,
33.5,0.5,F#3,no,54,,
34.0,1.0,A3,no,57,,
35.0,1.0,D4,no,62,,
36.0,1.0,B3,no,59,,
37.0,0.5,D4,no,62,,
37.5,0.5,B3,no,59,,
38.0,2.0,A3,no,57,,
40.0,1.5,G3,no,55,,
41.5,0.5,A3,no,57,,
42.0,1.0,F#3,no,54,,
43.0,1.0,D3,no,50,,
44.0,2.0,E3,no,52,,
46.0,2.0,D3,no,50,,
48.0,1.5,D3,no,50,,
49.5,0.5,F#3,no,54,,
50.0,1.0,A3,no,57,,
51.0,1.0,D4,no,62,,
52.0,1.0,B3,no,59,,
53.0,0.5,D4,no,62,,
53.5,0.5,B3,no,59,,
54.0,2.0,A3,no,57,,
56.0,1.5,G3,no,55,,
57.5,0.5,A3,no,57,,
58.0,1.0,F#3,no,54,,
59.0,1.0,D3,no,50,,
60.0,2.0,E3,no,52,,
62.0,2.0,D3,no,50,,
64.0,1.0,A3,no,57,,
65.0,1.0,A3,no,57,,
66.0,1.0,G3,no,55,,
67.0,1.0,G3,no,55,,
68.0,1.0,F#3,no,54,,
69.0,0.5,A3,no,57,,
69.5,0.5,F#3,no,54,,
70.0,2.0,E3,no,52,,
72.0,1.0,A3,no,57,,
73.0,1.0,A3,no,57,,
74.0,1.0,G3,no,55,,
75.0,1.0,G3,no,55,,
76.0,1.0,F#3,no,54,,
77.0,0.5,A3,no,57,,
77.5,0.5,F#3,no,54,,
78.0,2.0,E3,no,52,,
80.0,1.5,D3,no,50,,
81.5,0.5,F#3,no,54,,
82.0,1.0,A3,no,57,,
83.0,1.0,D4,no,62,,
84.0,1.0,B3,no,59,,
85.0,0.5,D4,no,62,,
85.5,0.5,B3,no,59,,
86.0,2.0,A3,no,57,,
88.0,1.5,G3,no,55,,
89.5,0.5,A3,no,57,,
90.0,1.0,F#3,no,54,,
91.0,1.0,D3,no,50,,
92.0,2.0,E3,no,52,,
94.0,2.0,D3,no,50,,
