beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,C3,no,48,,
0.5,1.0,C3,no,48,,
1.5,0.5,E3,no,52,,
2.0,1.0,G3,no,55,,
3.0,0.5,C4,no,60,,
3.5,1.0,G3,start,55,,
4.5,0.5,G3,stop,55,,
5.0,1.0,E3,no,52,,
6.0,0.5,C3,no,48,,
6.5,1.0,F3,no,53,,
7.5,0.5,F3,no,53,,
8.0,0.5,F3,no,53,,
8.5,0.5,G3,no,55,,
9.0,0.5,F3,no,53,,
9.5,1.0,E3,start,52,,
10.5,0.5,E3,stop,52,,
12.0,0.5,C3,no,48,,
12.5,1.0,C3,no,48,,
13.5,0.5,E3,no,52,,
14.0,1.0,G3,no,55,,
15.0,0.5,C4,no,60,,
15.5,1.0,G3,start,55,,
16.5,0.5,G3,stop,55,,
17.0,1.0,E3,no,52,,
18.0,0.5,C3,no,48,,
18.5,1.0,D3,no,50,,
19.5,0.5,D3,no,50,,
20.0,0.5,D3,no,50,,
20.5,0.5,E3,no,52,,
21.0,0.5,D3,no,50,,
21.5,1.0,C3,start,48,,
22.5,0.5,C3,stop,48,,
24.0,0.5,E3,no,52,,
24.5,1.0,F3,no,53,,
25.5,0.5,E3,no,52,,
26.0,0.5,D3,no,50,,
26.5,0.5,E3,no,52,,
27.0,0.5,F3,no,53,,
27.5,1.0,G3,start,55,,
28.5,0.5,G3,stop,55,,
29.0,1.0,E3,no,52,,
30.0,0.5,C4,no,60,,
30.5,0.5,C4,no,60,,
31.0,0.5,B3,no,59,,
31.5,0.5,A3,no,57,,
32.0,0.5,A3,no,57,,
32.5,0.5,G3,no,55,,
33.0,0.5,F#3,no,54,,
33.5,1.0,G3,start,55,,
34.5,0.5,G3,stop,55,,
36.0,0.5,C3,no,48,,
36.5,1.0,C3,no,48,,
37.5,0.5,E3,no,52,,
38.0,1.0,G3,no,55,,
39.0,0.5,C4,no,60,,
39.5,1.0,C4,no,60,,
40.5,0.5,A3,no,57,,
41.0,1.0,F3,no,53,,
42.0,0.5,A3,no,57,,
42.5,0.5,G3,no,55,,
43.0,0.5,A3,no,57,,
43.5,0.5,G3,no,55,,
44.0,0.5,F3,no,53,,
44.5,0.5,E3,no,52,,
45.0,0.5,D3,no,50,,
45.5,1.0,C3,start,48,,
46.5,0.5,C3,stop,48,,
