beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,0,0
1.0,0.5,C3,no,48,0.6,0.6
1.5,0.5,D3,no,50,0.9,0.9
2.0,0.5,E3,no,52,1.2,1.2
2.5,0.5,F3,no,53,1.5,1.5
3.0,1.0,G3,no,55,1.8,1.8
4.0,1.0,C3,no,48,2.4,2.4
5.0,1.0,C3,no,48,3,3
6.0,1.0,A3,no,57,3.6,3.6
7.0,0.5,F3,no,53,4.2,4.2
7.5,0.5,G3,no,55,4.5,4.5
8.0,0.5,A3,no,57,4.8,4.8
8.5,0.5,B3,no,59,5.1,5.1
9.0,1.0,C4,no,60,5.4,5.4
10.0,1.0,C3,no,48,6,6
11.0,1.0,C3,no,48,6.6,6.6
12.0,1.0,F3,no,53,7.2,7.2
13.0,0.5,G3,no,55,7.8,7.8
13.5,0.5,F3,no,53,8.1,8.1
14.0,0.5,E3,no,52,8.4,8.4
14.5,0.5,D3,no,50,8.7,8.7
15.0,1.0,E3,no,52,9,9
16.0,0.5,F3,no,53,9.6,9.6
16.5,0.5,E3,no,52,9.9,9.9
17.0,0.5,D3,no,50,10.2,10.2
17.5,0.5,C3,no,48,10.5,10.5
18.0,1.0,B2,no,47,10.8,10.8
19.0,0.5,C3,no,48,11.4,11.4
19.5,0.5,D3,no,50,11.7,11.7
20.0,0.5,E3,no,52,12,12
20.5,0.5,C3,no,48,12.3,12.3
21.0,0.25,E3,no,52,12.6,12.6
21.25,0.75,D3,start,50,12.75,12.75
22.0,0.5,D3,stop,50,13.2,13.2
24.0,1.0,G3,no,55,14.4,14.4
25.0,0.5,C3,no,48,15,15
25.5,0.5,D3,no,50,15.3,15.3
26.0,0.5,E3,no,52,15.6,15.6
26.5,0.5,F3,no,53,15.9,15.9
27.0,1.0,G3,no,55,16.2,16.2
28.0,1.0,C3,no,48,16.8,16.8
29.0,1.0,C3,no,48,17.4,17.4
30.0,1.0,A3,no,57,18,18
31.0,0.5,F3,no,53,18.6,18.6
31.5,0.5,G3,no,55,18.9,18.9
32.0,0.5,A3,no,57,19.2,19.2
32.5,0.5,B3,no,59,19.5,19.5
33.0,1.0,C4,no,60,19.8,19.8
34.0,1.0,C3,no,48,20.4,20.4
35.0,1.0,C3,no,48,21,21
36.0,1.0,F3,no,53,21.6,21.6
37.0,0.5,G3,no,55,22.2,22.2
37.5,0.5,F3,no,53,22.5,22.5
38.0,0.5,E3,no,52,22.8,22.8
38.5,0.5,D3,no,50,23.1,23.1
39.0,1.0,E3,no,52,23.4,23.4
40.0,0.5,F3,no,53,24,24
40.5,0.5,E3,no,52,24.3,24.3
41.0,0.5,D3,no,50,24.6,24.6
41.5,0.5,C3,no,48,24.9,24.9
42.0,1.0,D3,no,50,25.2,25.2
43.0,0.5,E3,no,52,25.8,25.8
43.5,0.5,D3,no,50,26.1,26.1
44.0,0.5,C3,no,48,26.4,26.4
44.5,0.5,B2,no,47,26.7,26.7
45.0,3.0,C3,no,48,27,27
48.0,1.0,G3,no,55,28.8,28.8
49.0,0.5,C3,no,48,29.4,29.4
49.5,0.5,D3,no,50,29.7,29.7
50.0,0.5,E3,no,52,30,30
50.5,0.5,F3,no,53,30.3,30.3
51.0,1.0,G3,no,55,30.6,30.6
52.0,1.0,C3,no,48,31.2,31.2
53.0,1.0,C3,no,48,31.8,31.8
54.0,1.0,A3,no,57,32.4,32.4
55.0,0.5,F3,no,53,33,33
55.5,0.5,G3,no,55,33.3,33.3
56.0,0.5,A3,no,57,33.6,33.6
56.5,0.5,B3,no,59,33.9,33.9
57.0,1.0,C4,no,60,34.2,34.2
58.0,1.0,C3,no,48,34.8,34.8
59.0,1.0,C3,no,48,35.4,35.4
60.0,1.0,F3,no,53,36,36
61.0,0.5,G3,no,55,36.6,36.6
61.5,0.5,F3,no,53,36.9,36.9
62.0,0.5,E3,no,52,37.2,37.2
62.5,0.5,D3,no,50,37.5,37.5
63.0,1.0,E3,no,52,37.8,37.8
64.0,0.5,F3,no,53,38.4,38.4
64.5,0.5,E3,no,52,38.7,38.7
65.0,0.5,D3,no,50,39,39
65.5,0.5,C3,no,48,39.3,39.3
66.0,1.0,B2,no,47,39.6,39.6
67.0,0.5,C3,no,48,40.2,40.2
67.5,0.5,D3,no,50,40.5,40.5
68.0,0.5,E3,no,52,40.8,40.8
68.5,0.5,C3,no,48,41.1,41.1
69.0,0.25,E3,no,52,41.4,41.4
69.25,0.75,D3,start,50,41.55,41.55
70.0,0.5,D3,stop,50,42,42
72.0,1.0,G3,no,55,43.2,43.2
73.0,0.5,C3,no,48,43.8,43.8
73.5,0.5,D3,no,50,44.1,44.1
74.0,0.5,E3,no,52,44.4,44.4
74.5,0.5,F3,no,53,44.7,44.7
75.0,1.0,G3,no,55,45,45
76.0,1.0,C3,no,48,45.6,45.6
77.0,1.0,C3,no,48,46.2,46.2
78.0,1.0,A3,no,57,46.8,46.8
79.0,0.5,F3,no,53,47.4,47.4
79.5,0.5,G3,no,55,47.7,47.7
80.0,0.5,A3,no,57,48,48
80.5,0.5,B3,no,59,48.3,48.3
81.0,1.0,C4,no,60,48.6,48.6
82.0,1.0,C3,no,48,49.2,49.2
83.0,1.0,C3,no,48,49.8,49.8
84.0,1.0,F3,no,53,50.4,50.4
85.0,0.5,G3,no,55,51,51
85.5,0.5,F3,no,53,51.3,51.3
86.0,0.5,E3,no,52,51.6,51.6
86.5,0.5,D3,no,50,51.9,51.9
87.0,1.0,E3,no,52,52.2,52.2
88.0,0.5,F3,no,53,52.8,52.8
88.5,0.5,E3,no,52,53.1,53.1
89.0,0.5,D3,no,50,53.4,53.4
89.5,0.5,C3,no,48,53.7,53.7
90.0,1.0,D3,no,50,54,54
91.0,0.5,E3,no,52,54.6,54.6
91.5,0.5,D3,no,50,54.9,54.9
92.0,0.5,C3,no,48,55.2,55.2
92.5,0.5,B2,no,47,55.5,55.5
93.0,3.0,C3,no,48,55.8,55.8
96.0,1.0,E4,no,64,57.6,57.6
97.0,0.5,C4,no,60,58.2,58.2
97.5,0.5,D4,no,62,58.5,58.5
98.0,0.5,E4,no,64,58.8,58.8
98.5,0.5,C4,no,60,59.1,59.1
99.0,1.0,D4,no,62,59.4,59.4
100.0,0.5,G3,no,55,60,60
100.5,0.5,A3,no,57,60.3,60.3
101.0,0.5,B3,no,59,60.6,60.6
101.5,0.5,G3,no,55,60.9,60.9
102.0,1.0,C4,no,60,61.2,61.2
103.0,0.5,A3,no,57,61.8,61.8
103.5,0.5,B3,no,59,62.1,62.1
104.0,0.5,C4,no,60,62.4,62.4
104.5,0.5,G3,no,55,62.7,62.7
105.0,1.0,F#3,no,54,63,63
106.0,0.5,E3,no,52,63.6,63.6
106.5,0.5,F#3,no,54,63.9,63.9
107.0,1.0,D3,no,50,64.2,64.2
108.0,0.5,D3,no,50,64.8,64.8
108.5,0.5,E3,no,52,65.1,65.1
109.0,0.5,F#3,no,54,65.4,65.4
109.5,0.5,G3,no,55,65.7,65.7
110.0,0.5,A3,no,57,66,66
110.5,0.5,B3,no,59,66.3,66.3
111.0,1.0,C4,no,60,66.6,66.6
112.0,1.0,B3,no,59,67.2,67.2
113.0,1.0,A3,no,57,67.8,67.8
