beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,0,0
1.0,1.0,G3,no,55,0.6,0.6
2.0,1.0,F#3,no,54,1.2,1.2
3.0,1.0,E3,no,52,1.8,1.8
4.0,3.0,D3,no,50,2.4,2.4
7.0,1.0,D3,no,50,4.2,4.2
8.0,1.0,E3,no,52,4.8,4.8
9.0,1.0,E3,no,52,5.4,5.4
10.0,1.0,F#3,no,54,6,6
11.0,1.0,D3,no,50,6.6,6.6
12.0,2.0,G3,no,55,7.2,7.2
14.0,2.0,D3,no,50,8.4,8.4
16.0,1.0,G3,no,55,9.6,9.6
17.0,1.0,G3,no,55,10.2,10.2
18.0,1.0,F#3,no,54,10.8,10.8
19.0,1.0,E3,no,52,11.4,11.4
20.0,3.0,D3,no,50,12,12
23.0,1.0,D3,no,50,13.8,13.8
24.0,1.0,E3,no,52,14.4,14.4
25.0,1.0,E3,no,52,15,15
26.0,1.0,F#3,no,54,15.6,15.6
27.0,1.0,D3,no,50,16.2,16.2
28.0,3.0,G3,no,55,16.8,16.8
32.0,0.5,B3,no,59,19.2,19.2
32.5,0.5,C4,no,60,19.5,19.5
33.0,1.0,D4,no,62,19.8,19.8
34.0,0.5,B3,no,59,20.4,20.4
34.5,0.5,C4,no,60,20.7,20.7
35.0,1.0,D4,no,62,21,21
36.0,1.0,C4,no,60,21.6,21.6
37.0,1.0,B3,no,59,22.2,22.2
38.0,1.0,A3,no,57,22.8,22.8
39.0,1.0,D3,no,50,23.4,23.4
40.0,2.0,G3,no,55,24,24
42.0,2.0,A3,no,57,25.2,25.2
44.0,3.0,B3,no,59,26.4,26.4
48.0,0.5,B3,no,59,28.8,28.8
48.5,0.5,C4,no,60,29.1,29.1
49.0,1.0,D4,no,62,29.4,29.4
50.0,0.5,B3,no,59,30,30
50.5,0.5,C4,no,60,30.3,30.3
51.0,1.0,D4,no,62,30.6,30.6
52.0,1.0,C4,no,60,31.2,31.2
53.0,1.0,B3,no,59,31.8,31.8
54.0,1.0,A3,no,57,32.4,32.4
55.0,1.0,D3,no,50,33,33
56.0,2.0,E3,no,52,33.6,33.6
58.0,2.0,F#3,no,54,34.8,34.8
60.0,3.0,G3,no,55,36,36
64.0,0.5,A3,no,57,38.4,38.4
64.5,0.5,B3,no,59,38.7,38.7
65.0,1.0,C4,no,60,39,39
66.0,2.0,C4,no,60,39.6,39.6
68.0,1.0,B3,no,59,40.8,40.8
69.0,1.0,A3,no,57,41.4,41.4
70.0,2.0,G3,no,55,42,42
72.0,0.5,A3,no,57,43.2,43.2
72.5,0.5,B3,no,59,43.5,43.5
73.0,1.0,C4,no,60,43.8,43.8
74.0,1.0,B3,no,59,44.4,44.4
75.0,1.0,A3,no,57,45,45
76.0,2.0,B3,no,59,45.6,45.6
78.0,2.0,D4,no,62,46.8,46.8
80.0,0.5,A3,no,57,48,48
80.5,0.5,B3,no,59,48.3,48.3
81.0,1.0,C4,no,60,48.6,48.6
82.0,2.0,C4,no,60,49.2,49.2
84.0,1.0,B3,no,59,50.4,50.4
85.0,1.0,A3,no,57,51,51
86.0,1.0,G3,no,55,51.6,51.6
87.0,1.0,B3,no,59,52.2,52.2
88.0,2.0,E3,no,52,52.8,52.8
90.0,2.0,F#3,no,54,54,54
92.0,3.0,G3,no,55,55.2,55.2
96.0,1.0,G3,no,55,57.6,57.6
97.0,1.0,G3,no,55,58.2,58.2
98.0,1.0,F#3,no,54,58.8,58.8
99.0,1.0,E3,no,52,59.4,59.4
100.0,3.0,D3,no,50,60,60
103.0,1.0,D3,no,50,61.8,61.8
104.0,1.0,E3,no,52,62.4,62.4
105.0,1.0,E3,no,52,63,63
106.0,1.0,F#3,no,54,63.6,63.6
107.0,1.0,D3,no,50,64.2,64.2
108.0,2.0,G3,no,55,64.8,64.8
110.0,2.0,D3,no,50,66,66
112.0,1.0,G3,no,55,67.2,67.2
113.0,1.0,G3,no,55,67.8,67.8
114.0,1.0,F#3,no,54,68.4,68.4
115.0,1.0,E3,no,52,69,69
116.0,3.0,D3,no,50,69.6,69.6
119.0,1.0,D3,no,50,71.4,71.4
120.0,1.0,E3,no,52,72,72
121.0,1.0,E3,no,52,72.6,72.6
122.0,1.0,F#3,no,54,73.2,73.2
123.0,1.0,D3,no,50,73.8,73.8
124.0,3.0,G3,no,55,74.4,74.4
