beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.75,B3,no,59,,
0.75,0.25,A3,no,57,,
1.0,0.75,G3,no,55,,
1.75,0.25,F#3,no,54,,
2.0,1.0,G3,no,55,,
3.0,1.0,D3,no,50,,
4.0,0.75,C4,no,60,,
4.75,0.25,B3,no,59,,
5.0,0.75,A3,no,57,,
5.75,0.25,G#3,no,56,,
6.0,1.0,A3,no,57,,
7.0,1.0,D3,no,50,,
8.0,0.75,B3,no,59,,
8.75,0.25,A3,no,57,,
9.0,0.75,G3,no,55,,
9.75,0.25,F#3,no,54,,
10.0,1.0,E3,no,52,,
11.0,1.0,A3,no,57,,
12.0,1/3,D3,no,50,,
12.333333333333334,1/3,F#3,no,54,,
12.666666666666666,1/3,A3,no,57,,
13.0,1/3,D4,no,62,,
13.333333333333334,1/3,A3,no,57,,
13.666666666666666,1/3,F#3,no,54,,
14.0,1.0,D3,no,50,,
16.0,0.75,B3,no,59,,
16.75,0.25,A3,no,57,,
17.0,0.75,G3,no,55,,
17.75,0.25,F#3,no,54,,
18.0,1.0,G3,no,55,,
19.0,1.0,D3,no,50,,
20.0,0.75,C4,no,60,,
20.75,0.25,B3,no,59,,
21.0,0.75,A3,no,57,,
21.75,0.25,G#3,no,56,,
22.0,1.0,A3,no,57,,
23.0,1.0,D3,no,50,,
24.0,0.75,B3,no,59,,
24.75,0.25,A3,no,57,,
25.0,0.75,G3,no,55,,
25.75,0.25,F#3,no,54,,
26.0,1.0,E3,no,52,,
27.0,1.0,F#3,no,54,,
28.0,1/3,G3,no,55,,
28.333333333333332,1/3,B2,no,47,,
28.666666666666668,1/3,D3,no,50,,
29.0,1/3,G3,no,55,,
29.333333333333332,1/3,D3,no,50,,
29.666666666666668,1/3,B2,no,47,,
30.0,1.0,G2,no,43,,
32.0,1/3,D4,no,62,,
32.333333333333336,1/3,A3,no,57,,
32.666666666666664,1/3,F#3,no,54,,
33.0,1/3,D3,no,50,,
33.333333333333336,1/3,F#3,no,54,,
33.666666666666664,1/3,A3,no,57,,
34.0,1.0,D4,no,62,,
36.0,1/3,G3,no,55,,
36.333333333333336,1/3,D3,no,50,,
36.666666666666664,1/3,B2,no,47,,
37.0,1/3,G2,no,43,,
37.333333333333336,1/3,B2,no,47,,
37.666666666666664,1/3,D3,no,50,,
38.0,1.0,G3,no,55,,
40.0,1/3,E4,no,64,,
40.333333333333336,1/3,C#4,no,61,,
40.666666666666664,1/3,A3,no,57,,
41.0,1/3,E3,no,52,,
41.333333333333336,1/3,A3,no,57,,
41.666666666666664,1/3,C#4,no,61,,
42.0,1.0,E4,no,64,,
43.0,1.0,C#4,no,61,,
44.0,1/3,D4,no,62,,
44.333333333333336,1/3,A3,no,57,,
44.666666666666664,1/3,F#3,no,54,,
45.0,1/3,D3,no,50,,
45.333333333333336,1/3,F#3,no,54,,
45.666666666666664,1/3,A3,no,57,,
46.0,1.0,D4,no,62,,
48.0,0.75,D4,no,62,,
48.75,0.25,C4,no,60,,
49.0,0.75,B-3,no,58,,
49.75,0.25,A3,no,57,,
50.0,1.0,B-3,no,58,,
51.0,1.0,F3,no,53,,
52.0,0.75,D#4,no,63,,
52.75,0.25,D4,no,62,,
53.0,0.75,C4,no,60,,
53.75,0.25,B3,no,59,,
54.0,1.0,C4,no,60,,
55.0,1.0,D4,no,62,,
56.0,0.75,B-3,no,58,,
56.75,0.25,A3,no,57,,
57.0,0.75,G3,no,55,,
57.75,0.25,F#3,no,54,,
58.0,1.0,G3,no,55,,
59.0,1.0,A3,no,57,,
60.0,2.0,D3,no,50,,
62.0,0.75,B3,no,59,,
62.75,0.25,A3,no,57,,
63.0,0.75,G3,no,55,,
63.75,0.25,F#3,no,54,,
64.0,1.0,G3,no,55,,
65.0,1.0,D3,no,50,,
66.0,0.75,C4,no,60,,
66.75,0.25,B3,no,59,,
67.0,0.75,A3,no,57,,
67.75,0.25,G#3,no,56,,
68.0,1.0,A3,no,57,,
69.0,1.0,D3,no,50,,
70.0,0.75,B3,no,59,,
70.75,0.25,A3,no,57,,
71.0,0.75,G3,no,55,,
71.75,0.25,F#3,no,54,,
72.0,0.75,E3,no,52,,
72.75,0.25,A3,no,57,,
73.0,1/3,C4,no,60,,
73.33333333333333,1/3,D4,no,62,,
73.66666666666667,1/3,E4,no,64,,
74.0,1/3,B3,no,59,,
74.33333333333333,1/3,D4,no,62,,
74.66666666666667,1/3,C4,no,60,,
75.0,1/3,B3,no,59,,
75.33333333333333,1/3,A3,no,57,,
75.66666666666667,1/3,G3,no,55,,
76.0,1/3,F#3,no,54,,
76.33333333333333,1/3,E3,no,52,,
76.66666666666667,1/3,D3,no,50,,
77.0,1/3,C3,no,48,,
77.33333333333333,1/3,B2,no,47,,
77.66666666666667,1/3,A2,no,45,,
78.0,1/3,G2,no,43,,
78.33333333333333,1/3,B2,no,47,,
78.66666666666667,1/3,D3,no,50,,
79.0,1/3,G3,no,55,,
79.33333333333333,1/3,D3,no,50,,
79.66666666666667,1/3,B2,no,47,,
80.0,1.0,G2,no,43,,
