beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,G2,no,43,,
0.5,0.5,A2,no,45,,
1.0,1.0,B2,no,47,,
2.0,0.5,B2,no,47,,
2.5,0.5,D3,no,50,,
3.0,1.0,C3,no,48,,
4.0,0.5,C3,no,48,,
4.5,0.5,E3,no,52,,
5.0,1.0,D3,no,50,,
6.0,0.5,D3,no,50,,
6.5,0.5,C3,no,48,,
7.0,1.0,B2,no,47,,
8.0,0.5,B2,no,47,,
8.5,0.5,D3,no,50,,
9.0,1.0,C3,no,48,,
10.0,0.5,C3,no,48,,
10.5,0.5,B2,no,47,,
11.0,1.0,A2,no,45,,
12.0,0.5,A2,no,45,,
12.5,0.5,C3,no,48,,
13.0,1.0,B2,no,47,,
14.0,0.5,B2,no,47,,
14.5,0.5,A2,no,45,,
15.0,1.0,G2,no,43,,
16.0,0.5,G2,no,43,,
16.5,0.5,A2,no,45,,
17.0,1.0,B2,no,47,,
18.0,0.5,B2,no,47,,
18.5,0.5,D3,no,50,,
19.0,1.0,C3,no,48,,
20.0,0.5,C3,no,48,,
20.5,0.5,E3,no,52,,
21.0,1.0,D3,no,50,,
22.0,0.5,D3,no,50,,
22.5,0.5,C3,no,48,,
23.0,1.0,B2,no,47,,
24.0,0.5,B2,no,47,,
24.5,0.5,D3,no,50,,
25.0,1.0,C3,no,48,,
26.0,0.5,C3,no,48,,
26.5,0.5,B2,no,47,,
27.0,1.0,A2,no,45,,
28.0,0.5,B2,no,47,,
28.5,0.5,A2,no,45,,
29.0,2.0,G2,no,43,,
32.0,0.5,G2,no,43,,
32.5,0.5,B2,no,47,,
33.0,1.0,A2,no,45,,
34.0,0.5,D2,no,38,,
34.5,0.5,D2,no,38,,
35.0,1.0,D2,no,38,,
36.0,0.5,A2,no,45,,
36.5,0.5,C3,no,48,,
37.0,1.0,B2,no,47,,
38.0,0.5,G2,no,43,,
38.5,0.5,G2,no,43,,
39.0,1.0,G2,no,43,,
40.0,0.5,B2,no,47,,
40.5,0.5,D3,no,50,,
41.0,1.0,C3,no,48,,
42.0,0.5,C3,no,48,,
42.5,0.5,E3,no,52,,
43.0,1.0,D3,no,50,,
44.0,0.5,D3,no,50,,
44.5,0.5,G3,no,55,,
45.0,1.0,D3,no,50,,
46.0,0.5,C3,no,48,,
46.5,0.5,B2,no,47,,
47.0,1.0,A2,no,45,,
48.0,0.5,G2,no,43,,
48.5,0.5,A2,no,45,,
49.0,1.0,B2,no,47,,
50.0,0.5,B2,no,47,,
50.5,0.5,D3,no,50,,
51.0,1.0,C3,no,48,,
52.0,0.5,C3,no,48,,
52.5,0.5,E3,no,52,,
53.0,1.0,D3,no,50,,
54.0,0.5,D3,no,50,,
54.5,0.5,C3,no,48,,
55.0,1.0,B2,no,47,,
56.0,0.5,B2,no,47,,
56.5,0.5,D3,no,50,,
57.0,1.0,C3,no,48,,
58.0,0.5,C3,no,48,,
58.5,0.5,B2,no,47,,
59.0,1.0,A2,no,45,,
60.0,0.5,B2,no,47,,
60.5,0.5,A2,no,45,,
61.0,2.0,G2,no,43,,
