beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,D4,no,62,0,0
1.0,1.0,D4,no,62,0.6,0.6
2.0,1.0,A3,no,57,1.2,1.2
3.0,1.0,A3,no,57,1.8,1.8
4.0,0.5,B3,no,59,2.4,2.4
4.5,0.5,C#4,no,61,2.7,2.7
5.0,0.5,D4,no,62,3,3
5.5,0.5,B3,no,59,3.3,3.3
6.0,1.0,A3,no,57,3.6,3.6
7.0,1.0,A3,no,57,4.2,4.2
8.0,1.0,G3,no,55,4.8,4.8
9.0,1.0,G3,no,55,5.4,5.4
10.0,1.0,F#3,no,54,6,6
11.0,1.0,F#3,no,54,6.6,6.6
12.0,0.5,E3,no,52,7.2,7.2
12.5,0.5,D3,no,50,7.5,7.5
13.0,0.5,E3,no,52,7.8,7.8
13.5,0.5,F#3,no,54,8.1,8.1
14.0,2.0,D3,no,50,8.4,8.4
16.0,1.0,D4,no,62,9.6,9.6
17.0,1.0,D4,no,62,10.2,10.2
18.0,1.0,A3,no,57,10.8,10.8
19.0,1.0,A3,no,57,11.4,11.4
20.0,0.5,B3,no,59,12,12
20.5,0.5,C#4,no,61,12.3,12.3
21.0,0.5,D4,no,62,12.6,12.6
21.5,0.5,B3,no,59,12.9,12.9
22.0,1.0,A3,no,57,13.2,13.2
23.0,1.0,A3,no,57,13.8,13.8
24.0,1.0,G3,no,55,14.4,14.4
25.0,1.0,G3,no,55,15,15
26.0,1.0,F#3,no,54,15.6,15.6
27.0,1.0,F#3,no,54,16.2,16.2
28.0,0.5,E3,no,52,16.8,16.8
28.5,0.5,D3,no,50,17.1,17.1
29.0,0.5,E3,no,52,17.4,17.4
29.5,0.5,F#3,no,54,17.7,17.7
30.0,2.0,D3,no,50,18,18
32.0,1.0,B3,no,59,19.2,19.2
33.0,1.0,B3,no,59,19.8,19.8
34.0,1.0,A3,no,57,20.4,20.4
35.0,1.0,D3,no,50,21,21
36.0,1.0,B3,no,59,21.6,21.6
37.0,1.0,B3,no,59,22.2,22.2
38.0,1.0,A3,no,57,22.8,22.8
39.0,1.0,D3,no,50,23.4,23.4
40.0,1.0,B3,no,59,24,24
41.0,1.0,C#4,no,61,24.6,24.6
42.0,1.0,D4,no,62,25.2,25.2
43.0,1.0,B3,no,59,25.8,25.8
44.0,1.0,A3,no,57,26.4,26.4
45.0,1.0,F#3,no,54,27,27
46.0,2.0,E3,no,52,27.6,27.6
48.0,1.0,D4,no,62,28.8,28.8
49.0,1.0,D4,no,62,29.4,29.4
50.0,1.0,A3,no,57,30,30
51.0,1.0,A3,no,57,30.6,30.6
52.0,0.5,B3,no,59,31.2,31.2
52.5,0.5,C#4,no,61,31.5,31.5
53.0,0.5,D4,no,62,31.8,31.8
53.5,0.5,B3,no,59,32.1,32.1
54.0,1.0,A3,no,57,32.4,32.4
55.0,1.0,A3,no,57,33,33
56.0,1.0,G3,no,55,33.6,33.6
57.0,1.0,G3,no,55,34.2,34.2
58.0,1.0,F#3,no,54,34.8,34.8
59.0,1.0,F#3,no,54,35.4,35.4
60.0,0.5,E3,no,52,36,36
60.5,0.5,D3,no,50,36.3,36.3
61.0,0.5,E3,no,52,36.6,36.6
61.5,0.5,F#3,no,54,36.9,36.9
62.0,2.0,D3,no,50,37.2,37.2
