beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,B2,no,47,0,0
0.5,0.5,C3,no,48,0.3,0.3
1.0,1.0,D3,no,50,0.6,0.6
2.0,0.5,C3,no,48,1.2,1.2
2.5,0.5,B2,no,47,1.5,1.5
3.0,1.0,A2,no,45,1.8,1.8
4.0,0.5,B2,no,47,2.4,2.4
4.5,0.5,A2,no,45,2.7,2.7
5.0,1.0,G2,no,43,3,3
6.0,2.0,A2,no,45,3.6,3.6
8.0,0.5,B2,no,47,4.8,4.8
8.5,0.5,C3,no,48,5.1,5.1
9.0,1.0,D3,no,50,5.4,5.4
10.0,0.5,E3,no,52,6,6
10.5,0.5,F#3,no,54,6.3,6.3
11.0,1.0,G3,no,55,6.6,6.6
12.0,0.5,G3,no,55,7.2,7.2
12.5,0.5,F#3,no,54,7.5,7.5
13.0,1.0,E3,no,52,7.8,7.8
14.0,2.0,D3,no,50,8.4,8.4
16.0,0.5,B2,no,47,9.6,9.6
16.5,0.5,C3,no,48,9.9,9.9
17.0,1.0,D3,no,50,10.2,10.2
18.0,0.5,C3,no,48,10.8,10.8
18.5,0.5,B2,no,47,11.1,11.1
19.0,1.0,A2,no,45,11.4,11.4
20.0,0.5,B2,no,47,12,12
20.5,0.5,A2,no,45,12.3,12.3
21.0,1.0,G2,no,43,12.6,12.6
22.0,2.0,A2,no,45,13.2,13.2
24.0,0.5,B2,no,47,14.4,14.4
24.5,0.5,C3,no,48,14.7,14.7
25.0,1.0,D3,no,50,15,15
26.0,0.5,E3,no,52,15.6,15.6
26.5,0.5,F#3,no,54,15.9,15.9
27.0,1.0,G3,no,55,16.2,16.2
28.0,0.5,C3,no,48,16.8,16.8
28.5,0.5,B2,no,47,17.1,17.1
29.0,1.0,A2,no,45,17.4,17.4
30.0,2.0,G2,no,43,18,18
32.0,1.0,B3,no,59,19.2,19.2
33.0,1.0,B3,no,59,19.8,19.8
34.0,1.0,G3,no,55,20.4,20.4
35.0,1.0,D3,no,50,21,21
36.0,0.5,E3,no,52,21.6,21.6
36.5,0.5,F#3,no,54,21.9,21.9
37.0,1.0,G3,no,55,22.2,22.2
38.0,2.0,D3,no,50,22.8,22.8
40.0,1.0,A3,no,57,24,24
41.0,1.0,G3,no,55,24.6,24.6
42.0,1.0,F#3,no,54,25.2,25.2
43.0,1.0,E3,no,52,25.8,25.8
44.0,1.0,D3,no,50,26.4,26.4
45.0,1.0,C3,no,48,27,27
46.0,1.0,B2,no,47,27.6,27.6
47.0,1.0,A2,no,45,28.2,28.2
48.0,0.5,B2,no,47,28.8,28.8
48.5,0.5,C3,no,48,29.1,29.1
49.0,1.0,D3,no,50,29.4,29.4
50.0,0.5,C3,no,48,30,30
50.5,0.5,B2,no,47,30.3,30.3
51.0,1.0,A2,no,45,30.6,30.6
52.0,0.5,B2,no,47,31.2,31.2
52.5,0.5,A2,no,45,31.5,31.5
53.0,1.0,G2,no,43,31.8,31.8
54.0,2.0,A2,no,45,32.4,32.4
56.0,0.5,B2,no,47,33.6,33.6
56.5,0.5,C3,no,48,33.9,33.9
57.0,1.0,D3,no,50,34.2,34.2
58.0,0.5,E3,no,52,34.8,34.8
58.5,0.5,F#3,no,54,35.1,35.1
59.0,1.0,G3,no,55,35.4,35.4
60.0,0.5,C3,no,48,36,36
60.5,0.5,B2,no,47,36.3,36.3
61.0,1.0,A2,no,45,36.6,36.6
62.0,2.0,G2,no,43,37.2,37.2
