beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,2.0,G3,no,55,,
2.0,1.5,E3,no,52,,
3.5,0.5,F3,no,53,,
4.0,2.0,G3,no,55,,
6.0,2.0,C3,no,48,,
8.0,0.5,D3,no,50,,
8.5,0.5,E3,no,52,,
9.0,0.5,F3,no,53,,
9.5,0.5,G3,no,55,,
10.0,1.0,F3,no,53,,
11.0,1.0,E3,no,52,,
12.0,3.0,D3,no,50,,
16.0,0.5,E3,no,52,,
16.5,0.5,F3,no,53,,
17.0,0.5,G3,no,55,,
17.5,0.5,A3,no,57,,
18.0,1.0,G3,no,55,,
19.0,1.0,G3,no,55,,
20.0,2.0,C4,no,60,,
22.0,2.0,G3,no,55,,
24.0,1.0,F3,no,53,,
25.0,1.0,E3,no,52,,
26.0,1.5,D3,no,50,,
27.5,0.5,C3,no,48,,
28.0,3.0,C3,no,48,,
32.0,0.5,E3,no,52,,
32.5,0.5,D3,no,50,,
33.0,0.5,E3,no,52,,
33.5,0.5,F3,no,53,,
34.0,1.0,E3,no,52,,
35.0,1.0,E3,no,52,,
36.0,2.0,D3,no,50,,
38.0,2.0,C3,no,48,,
40.0,1.0,F3,no,53,,
41.0,1.0,E3,no,52,,
42.0,1.0,D3,no,50,,
43.0,1.0,C3,no,48,,
44.0,3.0,B2,no,47,,
48.0,0.5,A3,no,57,,
48.5,0.5,G#3,no,56,,
49.0,0.5,A3,no,57,,
49.5,0.5,B3,no,59,,
50.0,1.0,A3,no,57,,
51.0,1.0,B3,no,59,,
52.0,2.0,C4,no,60,,
54.0,2.0,A3,no,57,,
56.0,1.0,B3,no,59,,
57.0,0.5,A3,no,57,,
57.5,0.5,G3,no,55,,
58.0,1.5,F#3,no,54,,
59.5,0.5,G3,no,55,,
60.0,3.0,G3,no,55,,
64.0,2.0,G3,no,55,,
66.0,1.5,E3,no,52,,
67.5,0.5,F3,no,53,,
68.0,2.0,G3,no,55,,
70.0,2.0,C3,no,48,,
72.0,0.5,D3,no,50,,
72.5,0.5,E3,no,52,,
73.0,0.5,F3,no,53,,
73.5,0.5,G3,no,55,,
74.0,1.0,F3,no,53,,
75.0,1.0,E3,no,52,,
76.0,3.0,D3,no,50,,
80.0,0.5,E3,no,52,,
80.5,0.5,F3,no,53,,
81.0,0.5,G3,no,55,,
81.5,0.5,A3,no,57,,
82.0,1.0,G3,no,55,,
83.0,1.0,G3,no,55,,
84.0,2.0,C4,no,60,,
86.0,2.0,G3,no,55,,
88.0,1.0,F3,no,53,,
89.0,1.0,E3,no,52,,
90.0,1.5,D3,no,50,,
91.5,0.5,C3,no,48,,
92.0,3.0,C3,no,48,,
