beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,D4,no,62,,
1.0,1.0,D4,no,62,,
2.0,1.0,D4,no,62,,
3.0,1.0,C#4,no,61,,
4.0,1.0,C#4,no,61,,
5.0,1.0,C#4,no,61,,
6.0,1.0,B3,no,59,,
7.0,1.0,C#4,no,61,,
8.0,1.0,D4,no,62,,
9.0,3.0,A3,no,57,,
12.0,1.0,G3,no,55,,
13.0,1.0,G3,no,55,,
14.0,1.0,G3,no,55,,
15.0,1.0,F#3,no,54,,
16.0,1.0,F#3,no,54,,
17.0,1.0,F#3,no,54,,
18.0,1.0,E3,no,52,,
19.0,1.0,E3,no,52,,
20.0,1.0,E3,no,52,,
21.0,3.0,D3,no,50,,
24.0,1.0,D3,no,50,,
25.0,1.0,E3,no,52,,
26.0,1.0,F#3,no,54,,
27.0,1.0,D3,no,50,,
28.0,1.0,E3,no,52,,
29.0,1.0,F#3,no,54,,
30.0,1.0,D3,no,50,,
31.0,1.0,E3,no,52,,
32.0,1.0,F#3,no,54,,
33.0,3.0,G3,no,55,,
36.0,1.0,E3,no,52,,
37.0,1.0,F#3,no,54,,
38.0,1.0,G3,no,55,,
39.0,1.0,E3,no,52,,
40.0,1.0,F#3,no,54,,
41.0,1.0,G3,no,55,,
42.0,1.0,E3,no,52,,
43.0,1.0,F#3,no,54,,
44.0,1.0,G3,no,55,,
45.0,3.0,A3,no,57,,
48.0,1.0,D4,no,62,,
49.0,1.0,C#4,no,61,,
50.0,1.0,B3,no,59,,
51.0,1.0,A3,no,57,,
52.0,1.0,G3,no,55,,
53.0,1.0,F#3,no,54,,
54.0,1.0,E3,no,52,,
55.0,1.0,D3,no,50,,
56.0,1.0,E3,no,52,,
57.0,3.0,D3,no,50,,
