beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,G3,no,55,0,0
0.5,0.5,A3,no,57,0.3,0.3
1.0,0.5,G3,no,55,0.6,0.6
1.5,0.5,E3,no,52,0.9,0.9
2.0,0.5,F3,no,53,1.2,1.2
2.5,0.5,G3,no,55,1.5,1.5
3.0,0.5,F3,no,53,1.8,1.8
3.5,0.5,D3,no,50,2.1,2.1
4.0,0.75,C3,no,48,2.4,2.4
4.875,0.125,B3,no,59,2.925,2.925
5.0,1.0,C4,no,60,3,3
6.0,1.0,C3,no,48,3.6,3.6
8.0,0.5,F3,no,53,4.8,4.8
8.5,0.5,G3,no,55,5.1,5.1
9.0,0.5,F3,no,53,5.4,5.4
9.5,0.5,D3,no,50,5.7,5.7
10.0,0.5,E3,no,52,6,6
10.5,0.5,F3,no,53,6.3,6.3
11.0,0.5,E3,no,52,6.6,6.6
11.5,0.5,C3,no,48,6.9,6.9
12.0,0.75,D3,no,50,7.2,7.2
12.875,0.125,F#3,no,54,7.725,7.725
13.0,1.0,G3,no,55,7.8,7.8
14.0,1.0,G2,no,43,8.4,8.4
16.0,0.5,G3,no,55,9.6,9.6
16.5,0.5,A3,no,57,9.9,9.9
17.0,0.5,G3,no,55,10.2,10.2
17.5,0.5,E3,no,52,10.5,10.5
18.0,0.5,F3,no,53,10.8,10.8
18.5,0.5,G3,no,55,11.1,11.1
19.0,0.5,F3,no,53,11.4,11.4
19.5,0.5,D3,no,50,11.7,11.7
20.0,0.75,C3,no,48,12,12
20.875,0.125,B3,no,59,12.525,12.525
21.0,1.0,C4,no,60,12.6,12.6
22.0,1.0,C3,no,48,13.2,13.2
24.0,1.0,E3,no,52,14.4,14.4
25.0,0.5,C3,no,48,15,15
25.5,0.5,A2,no,45,15.3,15.3
26.0,1.0,C3,no,48,15.6,15.6
27.0,0.5,A2,no,45,16.2,16.2
27.5,0.5,F#2,no,42,16.5,16.5
28.0,0.75,G2,no,43,16.8,16.8
28.875,0.125,F#3,no,54,17.325,17.325
29.0,1.0,G3,no,55,17.4,17.4
30.0,1.0,G2,no,43,18,18
32.0,0.5,G3,no,55,19.2,19.2
32.5,0.5,A3,no,57,19.5,19.5
33.0,0.5,G3,no,55,19.8,19.8
33.5,0.5,E3,no,52,20.1,20.1
34.0,0.5,F3,no,53,20.4,20.4
34.5,0.5,G3,no,55,20.7,20.7
35.0,0.5,F3,no,53,21,21
35.5,0.5,D3,no,50,21.3,21.3
36.0,0.75,C3,no,48,21.6,21.6
36.875,0.125,B3,no,59,22.125,22.125
37.0,1.0,C4,no,60,22.2,22.2
38.0,1.0,C3,no,48,22.8,22.8
40.0,0.5,F3,no,53,24,24
40.5,0.5,G3,no,55,24.3,24.3
41.0,0.5,F3,no,53,24.6,24.6
41.5,0.5,D3,no,50,24.9,24.9
42.0,0.5,E3,no,52,25.2,25.2
42.5,0.5,F3,no,53,25.5,25.5
43.0,0.5,E3,no,52,25.8,25.8
43.5,0.5,C3,no,48,26.1,26.1
44.0,0.75,D3,no,50,26.4,26.4
44.875,0.125,F#3,no,54,26.925,26.925
45.0,1.0,G3,no,55,27,27
46.0,1.0,G2,no,43,27.6,27.6
48.0,0.5,G3,no,55,28.8,28.8
48.5,0.5,A3,no,57,29.1,29.1
49.0,0.5,G3,no,55,29.4,29.4
49.5,0.5,E3,no,52,29.7,29.7
50.0,0.5,F3,no,53,30,30
50.5,0.5,G3,no,55,30.3,30.3
51.0,0.5,F3,no,53,30.6,30.6
51.5,0.5,D3,no,50,30.9,30.9
52.0,0.75,C3,no,48,31.2,31.2
52.875,0.125,B3,no,59,31.725,31.725
53.0,1.0,C4,no,60,31.8,31.8
54.0,1.0,C3,no,48,32.4,32.4
56.0,1.0,E3,no,52,33.6,33.6
57.0,0.5,C3,no,48,34.2,34.2
57.5,0.5,A2,no,45,34.5,34.5
58.0,1.0,C3,no,48,34.8,34.8
59.0,0.5,A2,no,45,35.4,35.4
59.5,0.5,F#2,no,42,35.7,35.7
60.0,0.75,G2,no,43,36,36
60.875,0.125,F#3,no,54,36.525,36.525
61.0,1.0,G3,no,55,36.6,36.6
62.0,1.0,G2,no,43,37.2,37.2
64.0,0.5,D3,no,50,38.4,38.4
64.5,0.5,F3,no,53,38.7,38.7
65.0,0.5,E3,no,52,39,39
65.5,0.5,G3,no,55,39.3,39.3
66.0,0.5,F3,no,53,39.6,39.6
66.5,0.5,E3,no,52,39.9,39.9
67.0,0.5,D3,no,50,40.2,40.2
67.5,0.5,C3,no,48,40.5,40.5
68.0,1.0,B2,no,47,40.8,40.8
69.0,1.0,D3,no,50,41.4,41.4
70.0,1.0,F3,no,53,42,42
72.0,0.5,E3,no,52,43.2,43.2
72.5,0.5,G3,no,55,43.5,43.5
73.0,0.5,F3,no,53,43.8,43.8
73.5,0.5,A3,no,57,44.1,44.1
74.0,0.5,G3,no,55,44.4,44.4
74.5,0.5,F3,no,53,44.7,44.7
75.0,0.5,E3,no,52,45,45
75.5,0.5,D3,no,50,45.3,45.3
76.0,1.0,C3,no,48,45.6,45.6
77.0,1.0,E3,no,52,46.2,46.2
78.0,1.0,G3,no,55,46.8,46.8
80.0,0.5,A3,no,57,48,48
80.5,0.5,G3,no,55,48.3,48.3
81.0,0.5,G3,no,55,48.6,48.6
81.5,0.5,F3,no,53,48.9,48.9
82.0,0.5,F3,no,53,49.2,49.2
82.5,0.5,E3,no,52,49.5,49.5
83.0,0.5,E3,no,52,49.8,49.8
83.5,0.5,D3,no,50,50.1,50.1
84.0,1.0,D3,no,50,50.4,50.4
85.0,1.0,F3,no,53,51,51
86.0,1.0,A3,no,57,51.6,51.6
88.0,0.5,G3,no,55,52.8,52.8
88.5,0.5,E3,no,52,53.1,53.1
89.0,0.5,B2,no,47,53.4,53.4
89.5,0.5,C3,no,48,53.7,53.7
90.0,0.5,F3,no,53,54,54
90.5,0.5,D3,no,50,54.3,54.3
91.0,0.5,A2,no,45,54.6,54.6
91.5,0.5,B2,no,47,54.9,54.9
92.0,0.75,C3,no,48,55.2,55.2
92.875,0.125,B3,no,59,55.725,55.725
93.0,1.0,C4,no,60,55.8,55.8
94.0,1.0,C3,no,48,56.4,56.4
96.0,1.0,E3,no,52,57.6,57.6
97.0,1.0,E3,no,52,58.2,58.2
98.0,1.0,F3,no,53,58.8,58.8
99.0,1.0,F3,no,53,59.4,59.4
100.0,0.5,G3,no,55,60,60
100.5,0.5,C4,no,60,60.3,60.3
101.0,0.5,B3,no,59,60.6,60.6
101.5,0.5,C4,no,60,60.9,60.9
102.0,1.0,G3,no,55,61.2,61.2
104.0,1.0,C3,no,48,62.4,62.4
