beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,2.0,B3,no,59,0,0
2.0,2.0,A3,no,57,1.2,1.2
4.0,1.0,G3,no,55,2.4,2.4
5.0,0.5,F#3,no,54,3,3
5.5,0.5,E3,no,52,3.3,3.3
6.0,1.0,D3,no,50,3.6,3.6
7.0,0.5,E3,no,52,4.2,4.2
7.5,0.5,F#3,no,54,4.5,4.5
8.0,1.0,G3,no,55,4.8,4.8
9.0,0.5,A3,no,57,5.4,5.4
9.5,0.5,B3,no,59,5.7,5.7
10.0,1.0,C4,no,60,6,6
11.0,1.0,B3,no,59,6.6,6.6
12.0,1.0,B3,no,59,7.2,7.2
13.0,1.0,A3,no,57,7.8,7.8
16.0,2.0,C4,no,60,9.6,9.6
18.0,2.0,A3,no,57,10.8,10.8
20.0,1.0,D3,no,50,12,12
21.0,0.5,D3,no,50,12.6,12.6
21.5,0.5,E3,no,52,12.9,12.9
22.0,1.0,F#3,no,54,13.2,13.2
23.0,0.5,F#3,no,54,13.8,13.8
23.5,0.5,G3,no,55,14.1,14.1
24.0,1.0,A3,no,57,14.4,14.4
25.0,0.5,B3,no,59,15,15
25.5,0.5,C4,no,60,15.3,15.3
26.0,1.0,D4,no,62,15.6,15.6
27.0,1.0,C4,no,60,16.2,16.2
28.0,1.0,C4,no,60,16.8,16.8
29.0,1.0,B3,no,59,17.4,17.4
32.0,2.0,B3,no,59,19.2,19.2
34.0,2.0,B3,no,59,20.4,20.4
36.0,1.0,B3,no,59,21.6,21.6
37.0,1.0,A3,no,57,22.2,22.2
40.0,2.0,A3,no,57,24,24
42.0,2.0,A3,no,57,25.2,25.2
44.0,1.0,A3,no,57,26.4,26.4
45.0,1.0,G3,no,55,27,27
48.0,2.0,G3,no,55,28.8,28.8
50.0,2.0,G3,no,55,30,30
52.0,1.0,G3,no,55,31.2,31.2
53.0,0.5,F#3,no,54,31.8,31.8
53.5,0.5,E3,no,52,32.1,32.1
54.0,1.0,A3,no,57,32.4,32.4
55.0,1.0,G3,no,55,33,33
56.0,2.0,F#3,no,54,33.6,33.6
58.0,2.0,E3,no,52,34.8,34.8
60.0,2.0,D3,no,50,36,36
64.0,2.0,B3,no,59,38.4,38.4
66.0,2.0,A3,no,57,39.6,39.6
68.0,1.0,G3,no,55,40.8,40.8
69.0,0.5,F#3,no,54,41.4,41.4
