beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.5,D3,no,50,0,0
1.5,0.5,F#3,no,54,0.9,0.9
2.0,1.0,A3,no,57,1.2,1.2
3.0,1.0,D4,no,62,1.8,1.8
4.0,1.0,B3,no,59,2.4,2.4
5.0,0.5,D4,no,62,3,3
5.5,0.5,B3,no,59,3.3,3.3
6.0,2.0,A3,no,57,3.6,3.6
8.0,1.5,G3,no,55,4.8,4.8
9.5,0.5,A3,no,57,5.7,5.7
10.0,1.0,F#3,no,54,6,6
11.0,1.0,D3,no,50,6.6,6.6
12.0,2.0,E3,no,52,7.2,7.2
14.0,2.0,D3,no,50,8.4,8.4
16.0,1.0,A3,no,57,9.6,9.6
17.0,1.0,A3,no,57,10.2,10.2
18.0,1.0,G3,no,55,10.8,10.8
19.0,1.0,G3,no,55,11.4,11.4
20.0,1.0,F#3,no,54,12,12
21.0,0.5,A3,no,57,12.6,12.6
21.5,0.5,F#3,no,54,12.9,12.9
22.0,2.0,E3,no,52,13.2,13.2
24.0,1.0,A3,no,57,14.4,14.4
25.0,1.0,A3,no,57,15,15
26.0,1.0,G3,no,55,15.6,15.6
27.0,1.0,G3,no,55,16.2,16.2
28.0,1.0,F#3,no,54,16.8,16.8
29.0,0.5,A3,no,57,17.4,17.4
29.5,0.5,F#3,no,54,17.7,17.7
30.0,2.0,E3,no,52,18,18
32.0,1.5,D3,no,50,19.2,19.2
33.5,0.5,F#3,no,54,20.1,20.1
34.0,1.0,A3,no,57,20.4,20.4
35.0,1.0,D4,no,62,21,21
36.0,1.0,B3,no,59,21.6,21.6
37.0,0.5,D4,no,62,22.2,22.2
37.5,0.5,B3,no,59,22.5,22.5
38.0,2.0,A3,no,57,22.8,22.8
40.0,1.5,G3,no,55,24,24
41.5,0.5,A3,no,57,24.9,24.9
42.0,1.0,F#3,no,54,25.2,25.2
43.0,1.0,D3,no,50,25.8,25.8
44.0,2.0,E3,no,52,26.4,26.4
46.0,2.0,D3,no,50,27.6,27.6
48.0,1.5,D3,no,50,28.8,28.8
49.5,0.5,F#3,no,54,29.7,29.7
50.0,1.0,A3,no,57,30,30
51.0,1.0,D4,no,62,30.6,30.6
52.0,1.0,B3,no,59,31.2,31.2
53.0,0.5,D4,no,62,31.8,31.8
53.5,0.5,B3,no,59,32.1,32.1
54.0,2.0,A3,no,57,32.4,32.4
56.0,1.5,G3,no,55,33.6,33.6
57.5,0.5,A3,no,57,34.5,34.5
58.0,1.0,F#3,no,54,34.8,34.8
59.0,1.0,D3,no,50,35.4,35.4
60.0,2.0,E3,no,52,36,36
62.0,2.0,D3,no,50,37.2,37.2
64.0,1.0,A3,no,57,38.4,38.4
65.0,1.0,A3,no,57,39,39
66.0,1.0,G3,no,55,39.6,39.6
67.0,1.0,G3,no,55,40.2,40.2
68.0,1.0,F#3,no,54,40.8,40.8
69.0,0.5,A3,no,57,41.4,41.4
69.5,0.5,F#3,no,54,41.7,41.7
70.0,2.0,E3,no,52,42,42
72.0,1.0,A3,no,57,43.2,43.2
73.0,1.0,A3,no,57,43.8,43.8
74.0,1.0,G3,no,55,44.4,44.4
75.0,1.0,G3,no,55,45,45
76.0,1.0,F#3,no,54,45.6,45.6
77.0,0.5,A3,no,57,46.2,46.2
77.5,0.5,F#3,no,54,46.5,46.5
78.0,2.0,E3,no,52,46.8,46.8
80.0,1.5,D3,no,50,48,48
81.5,0.5,F#3,no,54,48.9,48.9
82.0,1.0,A3,no,57,49.2,49.2
83.0,1.0,D4,no,62,49.8,49.8
84.0,1.0,B3,no,59,50.4,50.4
85.0,0.5,D4,no,62,51,51
85.5,0.5,B3,no,59,51.3,51.3
86.0,2.0,A3,no,57,51.6,51.6
88.0,1.5,G3,no,55,52.8,52.8
89.5,0.5,A3,no,57,53.7,53.7
90.0,1.0,F#3,no,54,54,54
91.0,1.0,D3,no,50,54.6,54.6
92.0,2.0,E3,no,52,55.2,55.2
94.0,2.0,D3,no,50,56.4,56.4
