beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,C3,no,48,0,0
0.5,1.0,C3,no,48,0.3,0.3
1.5,0.5,E3,no,52,0.9,0.9
2.0,1.0,G3,no,55,1.2,1.2
3.0,0.5,C4,no,60,1.8,1.8
3.5,1.0,G3,start,55,2.1,2.1
4.5,0.5,G3,stop,55,2.7,2.7
5.0,1.0,E3,no,52,3,3
6.0,0.5,C3,no,48,3.6,3.6
6.5,1.0,F3,no,53,3.9,3.9
7.5,0.5,F3,no,53,4.5,4.5
8.0,0.5,F3,no,53,4.8,4.8
8.5,0.5,G3,no,55,5.1,5.1
9.0,0.5,F3,no,53,5.4,5.4
9.5,1.0,E3,start,52,5.7,5.7
10.5,0.5,E3,stop,52,6.3,6.3
12.0,0.5,C3,no,48,7.2,7.2
12.5,1.0,C3,no,48,7.5,7.5
13.5,0.5,E3,no,52,8.1,8.1
14.0,1.0,G3,no,55,8.4,8.4
15.0,0.5,C4,no,60,9,9
15.5,1.0,G3,start,55,9.3,9.3
16.5,0.5,G3,stop,55,9.9,9.9
17.0,1.0,E3,no,52,10.2,10.2
18.0,0.5,C3,no,48,10.8,10.8
18.5,1.0,D3,no,50,11.1,11.1
19.5,0.5,D3,no,50,11.7,11.7
20.0,0.5,D3,no,50,12,12
20.5,0.5,E3,no,52,12.3,12.3
21.0,0.5,D3,no,50,12.6,12.6
21.5,1.0,C3,start,48,12.9,12.9
22.5,0.5,C3,stop,48,13.5,13.5
24.0,0.5,E3,no,52,14.4,14.4
24.5,1.0,F3,no,53,14.7,14.7
25.5,0.5,E3,no,52,15.3,15.3
26.0,0.5,D3,no,50,15.6,15.6
26.5,0.5,E3,no,52,15.9,15.9
27.0,0.5,F3,no,53,16.2,16.2
27.5,1.0,G3,start,55,16.5,16.5
28.5,0.5,G3,stop,55,17.1,17.1
29.0,1.0,E3,no,52,17.4,17.4
30.0,0.5,C4,no,60,18,18
30.5,0.5,C4,no,60,18.3,18.3
31.0,0.5,B3,no,59,18.6,18.6
31.5,0.5,A3,no,57,18.9,18.9
32.0,0.5,A3,no,57,19.2,19.2
32.5,0.5,G3,no,55,19.5,19.5
33.0,0.5,F#3,no,54,19.8,19.8
33.5,1.0,G3,start,55,20.1,20.1
34.5,0.5,G3,stop,55,20.7,20.7
36.0,0.5,C3,no,48,21.6,21.6
36.5,1.0,C3,no,48,21.9,21.9
37.5,0.5,E3,no,52,22.5,22.5
38.0,1.0,G3,no,55,22.8,22.8
39.0,0.5,C4,no,60,23.4,23.4
39.5,1.0,C4,no,60,23.7,23.7
40.5,0.5,A3,no,57,24.3,24.3
41.0,1.0,F3,no,53,24.6,24.6
42.0,0.5,A3,no,57,25.2,25.2
42.5,0.5,G3,no,55,25.5,25.5
43.0,0.5,A3,no,57,25.8,25.8
43.5,0.5,G3,no,55,26.1,26.1
44.0,0.5,F3,no,53,26.4,26.4
44.5,0.5,E3,no,52,26.7,26.7
45.0,0.5,D3,no,50,27,27
45.5,1.0,C3,start,48,27.3,27.3
46.5,0.5,C3,stop,48,27.9,27.9
