beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,,
1.0,1.0,G3,no,55,,
2.0,1.0,G3,no,55,,
3.0,1.0,E3,no,52,,
4.0,0.5,D3,no,50,,
4.5,0.5,E3,no,52,,
5.0,1.0,C3,no,48,,
6.0,1.0,D3,no,50,,
7.0,1.0,G3,no,55,,
8.0,1.0,F3,no,53,,
9.0,2.0,E3,no,52,,
11.0,1.0,D3,no,50,,
12.0,1.0,G3,no,55,,
13.0,0.5,F3,no,53,,
13.5,0.5,E3,no,52,,
14.0,0.5,D3,no,50,,
14.5,0.5,C3,no,48,,
15.0,1.0,A3,no,57,,
16.0,0.5,F3,no,53,,
16.5,0.5,E3,no,52,,
17.0,0.5,D3,no,50,,
17.5,0.5,C3,no,48,,
18.0,1.0,B2,no,47,,
19.0,0.5,A2,no,45,,
19.5,0.5,G2,no,43,,
20.0,1.0,B2,no,47,,
21.0,3.0,C3,no,48,,
24.0,1.0,G3,no,55,,
25.0,1.0,G3,no,55,,
26.0,1.0,G3,no,55,,
27.0,1.0,E3,no,52,,
28.0,0.5,D3,no,50,,
28.5,0.5,E3,no,52,,
29.0,1.0,C3,no,48,,
30.0,1.0,D3,no,50,,
31.0,1.0,G3,no,55,,
32.0,1.0,F3,no,53,,
33.0,2.0,E3,no,52,,
35.0,1.0,D3,no,50,,
36.0,1.0,G3,no,55,,
37.0,0.5,F3,no,53,,
37.5,0.5,E3,no,52,,
38.0,0.5,D3,no,50,,
38.5,0.5,C3,no,48,,
39.0,1.0,A3,no,57,,
40.0,0.5,F3,no,53,,
40.5,0.5,E3,no,52,,
41.0,0.5,D3,no,50,,
41.5,0.5,C3,no,48,,
42.0,1.0,B2,no,47,,
43.0,0.5,A2,no,45,,
43.5,0.5,G2,no,43,,
44.0,1.0,B2,no,47,,
45.0,3.0,C3,no,48,,
48.0,1.0,E3,no,52,,
49.0,2.0,A3,no,57,,
51.0,1.0,F#3,no,54,,
52.0,0.5,E3,no,52,,
52.5,0.5,F#3,no,54,,
53.0,1.0,D3,no,50,,
54.0,1.0,G3,no,55,,
55.0,1.0,A3,no,57,,
56.0,1.0,B3,no,59,,
57.0,0.5,A3,no,57,,
