beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,D3,no,50,,
1.0,0.5,E3,no,52,,
1.5,0.5,C3,no,48,,
2.0,1.0,D3,no,50,,
3.0,0.5,G3,no,55,,
3.5,0.5,A3,no,57,,
4.0,1.0,B3,no,59,,
5.0,0.5,A3,no,57,,
5.5,0.5,F#3,no,54,,
6.0,1.0,G3,no,55,,
7.0,1.0,D3,no,50,,
8.0,1.0,G3,no,55,,
9.0,0.5,A3,no,57,,
9.5,0.5,F#3,no,54,,
10.0,0.5,G3,no,55,,
10.5,0.5,A3,no,57,,
11.0,0.5,B3,no,59,,
11.5,0.5,C4,no,60,,
12.0,0.5,D4,no,62,,
12.5,0.5,B3,no,59,,
13.0,0.5,C4,no,60,,
13.5,0.5,A3,no,57,,
14.0,2.0,B3,no,59,,
16.0,1.0,D3,no,50,,
17.0,0.5,E3,no,52,,
17.5,0.5,C3,no,48,,
18.0,1.0,D3,no,50,,
19.0,0.5,G3,no,55,,
19.5,0.5,A3,no,57,,
20.0,1.0,B3,no,59,,
21.0,0.5,A3,no,57,,
21.5,0.5,F#3,no,54,,
22.0,1.0,G3,no,55,,
23.0,1.0,D3,no,50,,
24.0,1.0,G3,no,55,,
25.0,0.5,A3,no,57,,
25.5,0.5,F#3,no,54,,
26.0,0.5,G3,no,55,,
26.5,0.5,A3,no,57,,
27.0,0.5,B3,no,59,,
27.5,0.5,C4,no,60,,
28.0,0.5,D4,no,62,,
28.5,0.5,B3,no,59,,
29.0,0.5,C4,no,60,,
29.5,0.5,A3,no,57,,
30.0,2.0,B3,no,59,,
32.0,1.0,D4,no,62,,
33.0,0.5,E4,no,64,,
33.5,0.5,C4,no,60,,
34.0,1.0,D4,no,62,,
35.0,0.5,C4,no,60,,
35.5,0.5,A3,no,57,,
36.0,0.5,B3,no,59,,
36.5,0.5,G3,no,55,,
37.0,0.5,A3,no,57,,
37.5,0.5,F#3,no,54,,
38.0,1.0,G3,no,55,,
39.0,1.0,D3,no,50,,
40.0,0.5,E3,no,52,,
40.5,0.5,D3,no,50,,
41.0,0.5,G3,no,55,,
41.5,0.5,D3,no,50,,
42.0,0.5,E3,no,52,,
42.5,0.5,D3,no,50,,
43.0,0.5,G3,no,55,,
43.5,0.5,D3,no,50,,
44.0,0.5,E3,no,52,,
44.5,0.5,D3,no,50,,
45.0,1.0,A3,no,57,,
46.0,2.0,A3,no,57,,
48.0,1.0,A3,no,57,,
49.0,0.5,B3,no,59,,
49.5,0.5,G3,no,55,,
50.0,1.0,C4,no,60,,
51.0,0.5,B3,no,59,,
51.5,0.5,G3,no,55,,
52.0,0.5,E4,no,64,,
52.5,0.5,C4,no,60,,
53.0,0.5,D4,no,62,,
53.5,0.5,B3,no,59,,
54.0,0.5,C4,no,60,,
54.5,0.5,B3,no,59,,
55.0,0.5,A3,no,57,,
55.5,0.5,G3,no,55,,
56.0,0.5,A3,no,57,,
56.5,0.5,B3,no,59,,
57.0,0.5,C4,no,60,,
57.5,0.5,B3,no,59,,
58.0,0.5,A3,no,57,,
58.5,0.5,G3,no,55,,
59.0,0.5,F#3,no,54,,
59.5,0.5,G3,no,55,,
60.0,0.5,A3,no,57,,
60.5,0.5,G3,no,55,,
61.0,0.5,F#3,no,54,,
61.5,0.5,E3,no,52,,
62.0,2.0,D3,no,50,,
64.0,1.0,D3,no,50,,
65.0,0.5,E3,no,52,,
65.5,0.5,C3,no,48,,
66.0,1.0,D3,no,50,,
67.0,0.5,G3,no,55,,
67.5,0.5,A3,no,57,,
68.0,1.0,B3,no,59,,
69.0,0.5,A3,no,57,,
69.5,0.5,F#3,no,54,,
70.0,1.0,G3,no,55,,
71.0,1.0,D3,no,50,,
72.0,0.5,B3,no,59,,
72.5,0.5,F#3,no,54,,
73.0,0.5,G3,no,55,,
73.5,0.5,D3,no,50,,
74.0,0.5,D4,no,62,,
74.5,0.5,F#3,no,54,,
75.0,0.5,G3,no,55,,
75.5,0.5,D3,no,50,,
76.0,0.5,B3,no,59,,
76.5,0.5,F#3,no,54,,
77.0,0.5,G3,no,55,,
77.5,0.5,D3,no,50,,
78.0,2.0,G3,no,55,,
80.0,1.0,D4,no,62,,
81.0,0.5,E4,no,64,,
81.5,0.5,C4,no,60,,
82.0,1.0,D4,no,62,,
83.0,0.5,C4,no,60,,
83.5,0.5,A3,no,57,,
84.0,0.5,B3,no,59,,
84.5,0.5,G3,no,55,,
85.0,0.5,A3,no,57,,
85.5,0.5,F#3,no,54,,
86.0,1.0,G3,no,55,,
87.0,1.0,D3,no,50,,
88.0,0.5,E3,no,52,,
88.5,0.5,D3,no,50,,
89.0,0.5,G3,no,55,,
89.5,0.5,D3,no,50,,
90.0,0.5,E3,no,52,,
90.5,0.5,D3,no,50,,
91.0,0.5,G3,no,55,,
91.5,0.5,D3,no,50,,
92.0,0.5,E3,no,52,,
92.5,0.5,D3,no,50,,
93.0,1.0,A3,no,57,,
94.0,2.0,A3,no,57,,
96.0,1.0,A3,no,57,,
97.0,0.5,B3,no,59,,
97.5,0.5,G3,no,55,,
98.0,1.0,C4,no,60,,
99.0,0.5,B3,no,59,,
99.5,0.5,G3,no,55,,
100.0,0.5,E4,no,64,,
100.5,0.5,C4,no,60,,
101.0,0.5,D4,no,62,,
101.5,0.5,B3,no,59,,
102.0,0.5,C4,no,60,,
102.5,0.5,B3,no,59,,
103.0,0.5,A3,no,57,,
103.5,0.5,G3,no,55,,
104.0,0.5,A3,no,57,,
104.5,0.5,B3,no,59,,
105.0,0.5,C4,no,60,,
105.5,0.5,B3,no,59,,
106.0,0.5,A3,no,57,,
106.5,0.5,G3,no,55,,
107.0,0.5,F#3,no,54,,
107.5,0.5,G3,no,55,,
108.0,0.5,A3,no,57,,
108.5,0.5,G3,no,55,,
109.0,0.5,F#3,no,54,,
109.5,0.5,E3,no,52,,
110.0,2.0,D3,no,50,,
112.0,1.0,D3,no,50,,
113.0,0.5,E3,no,52,,
113.5,0.5,C3,no,48,,
114.0,1.0,D3,no,50,,
115.0,0.5,G3,no,55,,
115.5,0.5,A3,no,57,,
116.0,1.0,B3,no,59,,
117.0,0.5,A3,no,57,,
