beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,,
1.0,1.0,G3,no,55,,
2.0,1.0,F#3,no,54,,
3.0,1.0,E3,no,52,,
4.0,3.0,D3,no,50,,
7.0,1.0,D3,no,50,,
8.0,1.0,E3,no,52,,
9.0,1.0,E3,no,52,,
10.0,1.0,F#3,no,54,,
11.0,1.0,D3,no,50,,
12.0,2.0,G3,no,55,,
14.0,2.0,D3,no,50,,
16.0,1.0,G3,no,55,,
17.0,1.0,G3,no,55,,
18.0,1.0,F#3,no,54,,
19.0,1.0,E3,no,52,,
20.0,3.0,D3,no,50,,
23.0,1.0,D3,no,50,,
24.0,1.0,E3,no,52,,
25.0,1.0,E3,no,52,,
26.0,1.0,F#3,no,54,,
27.0,1.0,D3,no,50,,
28.0,3.0,G3,no,55,,
32.0,0.5,B3,no,59,,
32.5,0.5,C4,no,60,,
33.0,1.0,D4,no,62,,
34.0,0.5,B3,no,59,,
34.5,0.5,C4,no,60,,
35.0,1.0,D4,no,62,,
36.0,1.0,C4,no,60,,
37.0,1.0,B3,no,59,,
38.0,1.0,A3,no,57,,
39.0,1.0,D3,no,50,,
40.0,2.0,G3,no,55,,
42.0,2.0,A3,no,57,,
44.0,3.0,B3,no,59,,
48.0,0.5,B3,no,59,,
48.5,0.5,C4,no,60,,
49.0,1.0,D4,no,62,,
50.0,0.5,B3,no,59,,
50.5,0.5,C4,no,60,,
51.0,1.0,D4,no,62,,
52.0,1.0,C4,no,60,,
53.0,1.0,B3,no,59,,
54.0,1.0,A3,no,57,,
55.0,1.0,D3,no,50,,
56.0,2.0,E3,no,52,,
58.0,2.0,F#3,no,54,,
60.0,3.0,G3,no,55,,
64.0,0.5,A3,no,57,,
64.5,0.5,B3,no,59,,
65.0,1.0,C4,no,60,,
66.0,2.0,C4,no,60,,
68.0,1.0,B3,no,59,,
69.0,1.0,A3,no,57,,
70.0,2.0,G3,no,55,,
72.0,0.5,A3,no,57,,
72.5,0.5,B3,no,59,,
73.0,1.0,C4,no,60,,
74.0,1.0,B3,no,59,,
75.0,1.0,A3,no,57,,
76.0,2.0,B3,no,59,,
78.0,2.0,D4,no,62,,
80.0,0.5,A3,no,57,,
80.5,0.5,B3,no,59,,
81.0,1.0,C4,no,60,,
82.0,2.0,C4,no,60,,
84.0,1.0,B3,no,59,,
85.0,1.0,A3,no,57,,
86.0,1.0,G3,no,55,,
87.0,1.0,B3,no,59,,
88.0,2.0,E3,no,52,,
90.0,2.0,F#3,no,54,,
92.0,3.0,G3,no,55,,
96.0,1.0,G3,no,55,,
97.0,1.0,G3,no,55,,
98.0,1.0,F#3,no,54,,
99.0,1.0,E3,no,52,,
100.0,3.0,D3,no,50,,
103.0,1.0,D3,no,50,,
104.0,1.0,E3,no,52,,
105.0,1.0,E3,no,52,,
106.0,1.0,F#3,no,54,,
107.0,1.0,D3,no,50,,
108.0,2.0,G3,no,55,,
110.0,2.0,D3,no,50,,
112.0,1.0,G3,no,55,,
113.0,1.0,G3,no,55,,
114.0,1.0,F#3,no,54,,
115.0,1.0,E3,no,52,,
116.0,3.0,D3,no,50,,
119.0,1.0,D3,no,50,,
120.0,1.0,E3,no,52,,
121.0,1.0,E3,no,52,,
122.0,1.0,F#3,no,54,,
123.0,1.0,D3,no,50,,
124.0,3.0,G3,no,55,,
