beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,D3,no,50,0,0
1.0,1.0,G3,no,55,0.6,0.6
2.0,0.75,G3,no,55,1.2,1.2
2.75,0.25,A3,no,57,1.65,1.65
3.0,1.0,B-3,no,58,1.8,1.8
4.0,1.0,A3,no,57,2.4,2.4
5.0,2.0,G3,no,55,3,3
8.0,1.0,B-3,no,58,4.8,4.8
9.0,1.0,A3,no,57,5.4,5.4
10.0,1.0,G3,no,55,6,6
11.0,1.0,F#3,no,54,6.6,6.6
12.0,0.75,E3,no,52,7.2,7.2
12.75,0.25,E3,no,52,7.65,7.65
13.0,3.0,D3,no,50,7.8,7.8
16.0,1.0,D3,no,50,9.6,9.6
17.0,1.0,G3,no,55,10.2,10.2
18.0,0.75,G3,no,55,10.8,10.8
18.75,0.25,A3,no,57,11.25,11.25
19.0,1.0,B-3,no,58,11.4,11.4
20.0,1.0,A3,no,57,12,12
21.0,2.0,G3,no,55,12.6,12.6
24.0,1.0,D4,no,62,14.4,14.4
25.0,1.0,C4,no,60,15,15
26.0,1.0,B-3,no,58,15.6,15.6
27.0,1.0,A3,no,57,16.2,16.2
28.0,1.0,G3,no,55,16.8,16.8
29.0,1.0,D3,no,50,17.4,17.4
30.0,2.0,D3,no,50,18,18
32.0,1.0,D3,no,50,19.2,19.2
33.0,1.0,D#3,start,51,19.8,19.8
34.0,0.5,D#3,stop,51,20.4,20.4
34.5,0.5,D#3,no,51,20.7,20.7
35.0,0.5,D#3,no,51,21,21
35.5,0.5,D#3,no,51,21.3,21.3
36.0,0.5,F3,no,53,21.6,21.6
36.5,0.5,C3,no,48,21.9,21.9
37.0,3.0,D3,no,50,22.2,22.2
40.0,1.0,D3,no,50,24,24
41.0,1.0,C3,start,48,24.6,24.6
42.0,0.5,C3,stop,48,25.2,25.2
42.5,0.5,C3,no,48,25.5,25.5
43.0,1.0,D3,start,50,25.8,25.8
44.0,0.5,D3,stop,50,26.4,26.4
44.5,0.5,A2,no,45,26.7,26.7
45.0,1.0,B-2,no,46,27,27
46.0,2.0,B-2,no,46,27.6,27.6
48.0,1.0,B-2,no,46,28.8,28.8
49.0,1.0,C3,no,48,29.4,29.4
50.0,0.5,C3,no,48,30,30
50.5,0.5,C3,no,48,30.3,30.3
51.0,1.0,F3,start,53,30.6,30.6
52.0,0.5,F3,stop,53,31.2,31.2
52.5,0.5,F3,no,53,31.5,31.5
53.0,1.0,D3,no,50,31.8,31.8
54.0,1.0,D3,no,50,32.4,32.4
55.0,1.0,G3,start,55,33,33
56.0,0.5,G3,stop,55,33.6,33.6
56.5,0.5,G3,no,55,33.9,33.9
57.0,1.0,G3,no,55,34.2,34.2
58.0,0.5,G3,no,55,34.8,34.8
58.5,0.5,G3,no,55,35.1,35.1
59.0,1.0,G3,start,55,35.4,35.4
60.0,0.5,G3,stop,55,36,36
60.5,0.5,G3,no,55,36.3,36.3
61.0,1.0,F#3,no,54,36.6,36.6
62.0,2.0,A3,no,57,37.2,37.2
64.0,1.0,D3,no,50,38.4,38.4
65.0,1.0,D3,start,50,39,39
66.0,0.5,D3,stop,50,39.6,39.6
66.5,0.5,D3,no,50,39.9,39.9
67.0,0.5,D3,no,50,40.2,40.2
67.5,0.5,D3,no,50,40.5,40.5
68.0,0.5,D3,no,50,40.8,40.8
68.5,0.5,G3,no,55,41.1,41.1
69.0,1.0,F#3,no,54,41.4,41.4
70.0,2.0,A3,no,57,42,42
72.0,1.0,D3,no,50,43.2,43.2
73.0,1.0,D3,no,50,43.8,43.8
74.0,0.5,D3,no,50,44.4,44.4
74.5,0.5,D3,no,50,44.7,44.7
75.0,1.0,D3,no,50,45,45
76.0,1.0,G3,no,55,45.6,45.6
77.0,1.0,F#3,no,54,46.2,46.2
78.0,1.0,D3,no,50,46.8,46.8
80.0,1.0,D3,no,50,48,48
81.0,1.0,G3,no,55,48.6,48.6
82.0,1.0,G3,no,55,49.2,49.2
83.0,1.0,A3,no,57,49.8,49.8
84.0,1.0,A3,no,57,50.4,50.4
85.0,1.0,D4,start,62,51,51
86.0,0.5,D4,stop,62,51.6,51.6
86.5,0.5,B3,no,59,51.9,51.9
87.0,1.0,G3,no,55,52.2,52.2
88.0,1.0,G3,no,55,52.8,52.8
89.0,1.0,E3,no,52,53.4,53.4
90.0,1.0,C4,no,60,54,54
91.0,1.0,B3,no,59,54.6,54.6
92.0,1.0,A3,no,57,55.2,55.2
93.0,3.0,G3,no,55,55.8,55.8
96.0,1.0,D3,no,50,57.6,57.6
97.0,1.0,G3,no,55,58.2,58.2
98.0,1.0,G3,no,55,58.8,58.8
99.0,1.0,A3,no,57,59.4,59.4
100.0,1.0,A3,no,57,60,60
101.0,1.0,D4,start,62,60.6,60.6
102.0,0.5,D4,stop,62,61.2,61.2
102.5,0.5,B3,no,59,61.5,61.5
103.0,1.0,G3,no,55,61.8,61.8
104.0,1.0,G3,no,55,62.4,62.4
105.0,1.0,E3,no,52,63,63
106.0,1.0,C4,no,60,63.6,63.6
107.0,1.0,B3,no,59,64.2,64.2
108.0,1.0,A3,no,57,64.8,64.8
109.0,3.0,G3,no,55,65.4,65.4
112.0,0.5,G3,no,55,67.2,67.2
112.5,0.5,A3,no,57,67.5,67.5
113.0,1.0,B3,no,59,67.8,67.8
114.0,0.75,B3,no,59,68.4,68.4
114.75,0.25,B3,no,59,68.85,68.85
115.0,0.5,C4,no,60,69,69
115.5,0.5,B3,no,59,69.3,69.3
116.0,0.5,A3,no,57,69.6,69.6
116.5,0.5,G3,no,55,69.9,69.9
117.0,1.0,A3,no,57,70.2,70.2
118.0,0.75,A3,no,57,70.8,70.8
118.75,0.25,A3,no,57,71.25,71.25
119.0,1.0,A3,no,57,71.4,71.4
120.0,0.5,A3,no,57,72,72
120.5,0.5,B3,no,59,72.3,72.3
121.0,1.0,C4,no,60,72.6,72.6
122.0,0.75,C4,no,60,73.2,73.2
122.75,0.25,C4,no,60,73.65,73.65
123.0,0.5,D4,no,62,73.8,73.8
123.5,0.5,C4,no,60,74.1,74.1
124.0,0.5,B3,no,59,74.4,74.4
124.5,0.5,A3,no,57,74.7,74.7
125.0,1.0,B3,no,59,75,75
126.0,0.75,B3,no,59,75.6,75.6
126.75,0.25,B3,no,59,76.05,76.05
127.0,1.0,B3,no,59,76.2,76.2
128.0,1.0,D4,no,62,76.8,76.8
129.0,1.0,D4,no,62,77.4,77.4
130.0,0.5,B3,no,59,78,78
130.5,0.5,G3,no,55,78.3,78.3
131.0,1.0,D4,no,62,78.6,78.6
132.0,0.5,B3,no,59,79.2,79.2
132.5,0.5,G3,no,55,79.5,79.5
133.0,1.0,D4,no,62,79.8,79.8
134.0,2.0,D3,no,50,80.4,80.4
136.0,1.0,D3,no,50,81.6,81.6
137.0,1.0,G3,no,55,82.2,82.2
138.0,1.0,G3,no,55,82.8,82.8
139.0,1.0,A3,no,57,83.4,83.4
140.0,1.0,A3,no,57,84,84
141.0,1.0,D4,start,62,84.6,84.6
142.0,0.5,D4,stop,62,85.2,85.2
142.5,0.5,B3,no,59,85.5,85.5
143.0,1.0,G3,no,55,85.8,85.8
144.0,1.0,G3,no,55,86.4,86.4
145.0,1.0,E3,no,52,87,87
146.0,0.75,C4,no,60,87.6,87.6
146.75,0.25,C4,no,60,88.05,88.05
147.0,1.0,B3,no,59,88.2,88.2
148.0,1.0,A3,no,57,88.8,88.8
149.0,3.0,G3,no,55,89.4,89.4
