beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.75,B3,no,59,0,0
0.75,0.25,A3,no,57,0.45,0.45
1.0,0.75,G3,no,55,0.6,0.6
1.75,0.25,F#3,no,54,1.05,1.05
2.0,1.0,G3,no,55,1.2,1.2
3.0,1.0,D3,no,50,1.8,1.8
4.0,0.75,C4,no,60,2.4,2.4
4.75,0.25,B3,no,59,2.85,2.85
5.0,0.75,A3,no,57,3,3
5.75,0.25,G#3,no,56,3.45,3.45
6.0,1.0,A3,no,57,3.6,3.6
7.0,1.0,D3,no,50,4.2,4.2
8.0,0.75,B3,no,59,4.8,4.8
8.75,0.25,A3,no,57,5.25,5.25
9.0,0.75,G3,no,55,5.4,5.4
9.75,0.25,F#3,no,54,5.85,5.85
10.0,1.0,E3,no,52,6,6
11.0,1.0,A3,no,57,6.6,6.6
12.0,1/3,D3,no,50,7.2,7.2
12.333333333333334,1/3,F#3,no,54,7.4,7.4
12.666666666666666,1/3,A3,no,57,7.6,7.6
13.0,1/3,D4,no,62,7.8,7.8
13.333333333333334,1/3,A3,no,57,8,8
13.666666666666666,1/3,F#3,no,54,8.2,8.2
14.0,1.0,D3,no,50,8.4,8.4
16.0,0.75,B3,no,59,9.6,9.6
16.75,0.25,A3,no,57,10.05,10.05
17.0,0.75,G3,no,55,10.2,10.2
17.75,0.25,F#3,no,54,10.65,10.65
18.0,1.0,G3,no,55,10.8,10.8
19.0,1.0,D3,no,50,11.4,11.4
20.0,0.75,C4,no,60,12,12
20.75,0.25,B3,no,59,12.45,12.45
21.0,0.75,A3,no,57,12.6,12.6
21.75,0.25,G#3,no,56,13.05,13.05
22.0,1.0,A3,no,57,13.2,13.2
23.0,1.0,D3,no,50,13.8,13.8
24.0,0.75,B3,no,59,14.4,14.4
24.75,0.25,A3,no,57,14.85,14.85
25.0,0.75,G3,no,55,15,15
25.75,0.25,F#3,no,54,15.45,15.45
26.0,1.0,E3,no,52,15.6,15.6
27.0,1.0,F#3,no,54,16.2,16.2
28.0,1/3,G3,no,55,16.8,16.8
28.333333333333332,1/3,B2,no,47,17,17
28.666666666666668,1/3,D3,no,50,17.2,17.2
29.0,1/3,G3,no,55,17.4,17.4
29.333333333333332,1/3,D3,no,50,17.6,17.6
29.666666666666668,1/3,B2,no,47,17.8,17.8
30.0,1.0,G2,no,43,18,18
32.0,1/3,D4,no,62,19.2,19.2
32.333333333333336,1/3,A3,no,57,19.4,19.4
32.666666666666664,1/3,F#3,no,54,19.6,19.6
33.0,1/3,D3,no,50,19.8,19.8
33.333333333333336,1/3,F#3,no,54,20,20
33.666666666666664,1/3,A3,no,57,20.2,20.2
34.0,1.0,D4,no,62,20.4,20.4
36.0,1/3,G3,no,55,21.6,21.6
36.333333333333336,1/3,D3,no,50,21.8,21.8
36.666666666666664,1/3,B2,no,47,22,22
37.0,1/3,G2,no,43,22.2,22.2
37.333333333333336,1/3,B2,no,47,22.4,22.4
37.666666666666664,1/3,D3,no,50,22.6,22.6
38.0,1.0,G3,no,55,22.8,22.8
40.0,1/3,E4,no,64,24,24
40.333333333333336,1/3,C#4,no,61,24.2,24.2
40.666666666666664,1/3,A3,no,57,24.4,24.4
41.0,1/3,E3,no,52,24.6,24.6
41.333333333333336,1/3,A3,no,57,24.8,24.8
41.666666666666664,1/3,C#4,no,61,25,25
42.0,1.0,E4,no,64,25.2,25.2
43.0,1.0,C#4,no,61,25.8,25.8
44.0,1/3,D4,no,62,26.4,26.4
